domain,visits
tools.usps.com,174341540
forecast.weather.gov,57300235
medlineplus.gov,40086035
usps.com,38184999
irs.gov,22248424
usajobs.gov,19763583
cdc.gov,19610297
weather.gov,19575093
ssa.gov,12956672
reg.usps.com,12752780
uscis.gov,10462297
login.usajobs.gov,10339815
travel.state.gov,9453838
nps.gov,9055589
cns.usps.com,7169222
nasa.gov,7167022
ceac.state.gov,5979608
earthquake.usgs.gov,5838790
wrh.noaa.gov,5775716
store.usps.com,5286522
fda.gov,5006354
egov.uscis.gov,4821531
whitehouse.gov,4647709
opm.gov,4572900
bls.gov,3671522
cancer.gov,3388420
epa.gov,3334147
myhealth.va.gov,3301142
search.usa.gov,3260804
archives.gov,3246869
tsa.gov,3217532
search.irs.gov,2989437
mobile.weather.gov,2965968
studentaid.ed.gov,2905093
justice.gov,2795080
va.gov,2789212
osha.gov,2741540
postcalc.usps.com,2694601
studentloans.gov,2551583
census.gov,2476040
my.usps.com,2465039
ebenefits.va.gov,2439369
dol.gov,2431301
cbp.gov,2311753
usa.gov,2300752
faa.gov,2281683
drugabuse.gov,2074857
state.gov,1950175
apps.irs.gov,1925972
benefits.va.gov,1866565
ftc.gov,1820359
ghr.nlm.nih.gov,1810091
niddk.nih.gov,1774153
holdmail.usps.com,1713279
nhlbi.nih.gov,1694210
consumer.ftc.gov,1612800
sba.gov,1611333
energy.gov,1580529
apod.nasa.gov,1573195
portal.hud.gov,1570261
sam.gov,1557793
2016.export.gov,1551192
gsa.gov,1456581
treasury.gov,1443379
nces.ed.gov,1408908
eauth.va.gov,1331165
bop.gov,1315030
pptform.state.gov,1300361
petitions.whitehouse.gov,1207216
dhs.gov,1186680
vsearch.nlm.nih.gov,1177879
energystar.gov,1172012
fbo.gov,1141942
eric.ed.gov,1140475
redelivery.usps.com,1125073
consumerfinance.gov,1118472
applicationmanager.gov,1106737
goes.noaa.gov,1083268
tricare.mil,1051730
nimh.nih.gov,1031928
defense.gov,1023127
womenshealth.gov,1006991
waterdata.usgs.gov,997457
privacyshield.gov,989389
search.uscis.gov,989389
nih.gov,985722
hhs.gov,938050
www2.ed.gov,937316
water.weather.gov,935849
treasurydirect.gov,934382
usda.gov,926315
foodsafety.gov,896244
data.bls.gov,877175
donotcall.gov,856639
uscourts.gov,855173
benefits.gov,849305
catalog.usmint.gov,839771
my.usajobs.gov,839771
search.cdc.gov,833170
fns.usda.gov,809700
navy.mil,802366
my.uscis.gov,795765
spotthestation.nasa.gov,786964
choosemyplate.gov,781830
emailus.usps.com,780363
uspto.gov,779630
spc.noaa.gov,777430
find.irs.gov,775963
therealcost.betobaccofree.hhs.gov,773029
time.gov,725357
history.state.gov,723890
e-verify.uscis.gov,710688
fsis.usda.gov,709221
aids.gov,704087
dailymed.nlm.nih.gov,701154
nsopw.gov,684285
poboxes.usps.com,668883
accessdata.fda.gov,654214
fmcsa.dot.gov,636612
oceanservice.noaa.gov,630011
www3.epa.gov,628545
nsf.gov,610209
sm.myhealth.va.gov,594074
fs.usda.gov,592607
gsaauctions.gov,584539
mars.nasa.gov,584539
jpl.nasa.gov,575738
water.usgs.gov,575738
earthobservatory.nasa.gov,571337
vets.gov,564737
solarsystem.nasa.gov,562536
ircalc.usps.com,561803
usaid.gov,550802
climate.nasa.gov,535400
smclinician.myhealth.va.gov,533199
nrcs.usda.gov,501662
mx.usembassy.gov,492861
grc.nasa.gov,487727
ice.gov,487727
marine.weather.gov,487727
nist.gov,475992
safercar.gov,469392
ihs.gov,467925
peacecorps.gov,463524
transportation.gov,460590
airnow.gov,459857
dvlottery.state.gov,454723
fws.gov,445922
uscg.mil,445922
gsaadvantage.gov,441521
ods.od.nih.gov,438588
ed.gov,437121
nlm.nih.gov,429053
stopbullying.gov,427586
ncdc.noaa.gov,412184
health.mil,407784
dea.gov,398983
npin.cdc.gov,388715
ptsd.va.gov,384314
pe.usps.com,376980
retail-pi.usps.com,374780
itl.nist.gov,373313
rd.usda.gov,364512
cpol.army.mil,340309
es.usps.com,332975
espanol.cdc.gov,326374
tidesandcurrents.noaa.gov,326374
jfklibrary.org,325640
passportstatus.state.gov,324907
vaccines.gov,319773
ada.gov,319040
cem.va.gov,313172
ahrq.gov,310972
aphis.usda.gov,310972
usembassy.gov,310238
index.va.gov,303638
usbr.gov,301437
atf.gov,299971
nrc.gov,291903
doi.gov,286035
li-public.fmcsa.dot.gov,286035
science.nasa.gov,285302
careers.state.gov,284569
grants.nih.gov,284569
search.osha.gov,284569
regulations.gov,280168
portal.fmcsa.dot.gov,279435
nasasearch.nasa.gov,275768
webbook.nist.gov,275034
blogs.va.gov,266233
tsdr.uspto.gov,266233
ncjrs.gov,264766
oceanexplorer.noaa.gov,264766
pubs.usgs.gov,262566
us-cert.gov,262566
fhwa.dot.gov,261099
complaints.donotcall.gov,259632
vacareers.va.gov,258899
gab.usps.com,258165
kids.usa.gov,250831
disasterassistance.gov,247164
nccih.nih.gov,246431
search.uspto.gov,236896
gobierno.usa.gov,232495
cnrfc.noaa.gov,231762
ers.usda.gov,231029
ourdocuments.gov,229562
acf.hhs.gov,225161
aspe.hhs.gov,221494
freshempire.betobaccofree.hhs.gov,220027
www-odi.nhtsa.dot.gov,214160
missingmail.usps.com,211960
tsunami.gov,211960
uk.usembassy.gov,211960
healthfinder.gov,210493
niaid.nih.gov,209759
greatagain.gov,207559
iris.custhelp.com,203892
ai.fmcsa.dot.gov,203159
oig.hhs.gov,200958
healthit.gov,200225
pe.usps.gov,200225
bjs.gov,198758
eclkc.ohs.acf.hhs.gov,198025
nhtsa.gov,197291
in.usembassy.gov,196558
bea.gov,194357
spaceplace.nasa.gov,192891
health.gov,192157
nia.nih.gov,192157
search.usembassy.gov,191424
fiscal.treasury.gov,189957
locator.ice.gov,188490
de.usembassy.gov,187757
nepis.epa.gov,187757
nicsezcheckfbi.gov,187757
eddm.usps.com,186290
climate.gov,182623
ebuy.gsa.gov,182623
ar.usembassy.gov,181889
healthypeople.gov,181156
blog.ed.gov,179689
ndb.nal.usda.gov,177489
hrsa.gov,176755
nccd.cdc.gov,173822
search.archives.gov,173088
nij.gov,171621
prdfaq-f2.usps.com,171621
girlshealth.gov,170154
militarypay.defense.gov,170154
usitc.gov,170154
publichealth.va.gov,169421
fees.uspto.gov,168688
step.state.gov,165754
br.usembassy.gov,163554
osac.gov,161353
nws.noaa.gov,158420
idcfars.bls.gov,156953
saturn.jpl.nasa.gov,155486
ssd.noaa.gov,154753
www2.usgs.gov,153286
ftccomplaintassistant.gov,152552
nifa.usda.gov,151819
smokefree.gov,151085
ic3.gov,148885
evisaforms.state.gov,146685
forecast-v3.weather.gov,145951
starchild.gsfc.nasa.gov,145951
teas.uspto.gov,145951
disa.mil,145218
ope.ed.gov,143751
retireefehb.opm.gov,143751
faq.usps.com,141551
nlrb.gov,141551
es-tools.usps.com,140817
usastaffing.opm.gov,138617
aoprals.state.gov,137884
fec.gov,137884
search.af.mil,136417
identitytheft.gov,135683
cfpub.epa.gov,133483
export.gov,133483
ngdc.noaa.gov,132016
onboarding.usastaffing.gov,132016
nmfs.noaa.gov,131283
fpds.gov,130550
nodc.noaa.gov,129816
disability.gov,127616
m.earthobservatory.nasa.gov,127616
web.nvd.nist.gov,127616
tr.usembassy.gov,125416
physics.nist.gov,124682
secsearch.sec.gov,124682
npdb.hrsa.gov,121748
catalog.archives.gov,121015
gps.gov,121015
history.nasa.gov,120282
aawu.arh.noaa.gov,119548
