Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error,Local Errors,Local Start Time,Local End Time,Local Duration,Lambda Request ID,Lambda Log Group Name,Lambda Log Stream Name,Lambda Start Time,Lambda End Time,Lambda Memory Limit,Lambda Measured Duration
18f.gov,18f.gov,https://18f.gov,True,True,https://18f.gsa.gov/,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:22:46.664064Z,2018-04-28T06:22:49.02243Z,2.358366,91421ea3-4aac-11e8-8278-77eaceaf7661,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]103f0a0509234f119a1bb5ae0648d0ec,2018-04-28T06:22:46.673196Z,2018-04-28T06:22:49.017609Z,128,2.344413
2020census.gov,2020census.gov,https://2020census.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:13:20.038773Z,2018-04-28T06:13:22.183376Z,2.144603,3f8601b9-4aab-11e8-8cdc-bb76a5896030,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]709c65aa99b741ecae8ef53b549ed97f,2018-04-28T06:13:20.050212Z,2018-04-28T06:13:22.179621Z,128,2.129409
9-11commission.gov,9-11commission.gov,https://9-11commission.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubdomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:23:51.007096Z,2018-04-28T06:23:53.125119Z,2.118023,b79c152a-4aac-11e8-b7b2-cfd6a68be42e,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]00b3e2a6d0ef43358bed07710ef787df,2018-04-28T06:23:51.02852Z,2018-04-28T06:23:53.12011Z,128,2.091590
911.gov,911.gov,https://www.911.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:20:54.243752Z,2018-04-28T06:20:57.002917Z,2.759165,4e403086-4aac-11e8-b646-a38f3daf6762,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]7c4e0b86c60340e399f6ce3957c10bb8,2018-04-28T06:20:54.235659Z,2018-04-28T06:20:56.978123Z,128,2.742464
911commission.gov,911commission.gov,https://911commission.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubdomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:23:51.984381Z,2018-04-28T06:23:54.197088Z,2.212707,b8312960-4aac-11e8-94e1-0177a691674f,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]103f0a0509234f119a1bb5ae0648d0ec,2018-04-28T06:23:51.99528Z,2018-04-28T06:23:54.192826Z,128,2.197546
aapi.gov,aapi.gov,http://aapi.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:14:59.30644Z,2018-04-28T06:15:00.794072Z,1.487632,7ab0f383-4aab-11e8-9766-4d9478fd462c,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]43a98b4a78eb40b6ade60e48f70f67a6,2018-04-28T06:14:59.320893Z,2018-04-28T06:15:00.793326Z,128,1.472433
abandonedmines.gov,abandonedmines.gov,https://abandonedmines.gov,True,False,,False,True,False,True,False,False,True,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,False,False,True,False,,2018-04-28T06:19:33.222872Z,2018-04-28T06:19:38.275009Z,5.052137,1df55de6-4aac-11e8-8689-f72c8c3a4e77,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]7a9232a096824e4198ee7b63aae64343,2018-04-28T06:19:33.238151Z,2018-04-28T06:19:38.270982Z,128,5.032831
abilityone.gov,abilityone.gov,https://abilityone.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False,,2018-04-28T06:25:52.123604Z,2018-04-28T06:26:03.861664Z,11.738060,ffcceb67-4aac-11e8-bcb7-8580ee02c6c7,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]9dd382faee3544c4841fd67bcfe8232e,2018-04-28T06:25:52.138296Z,2018-04-28T06:26:03.855943Z,128,11.717647
abmc.gov,abmc.gov,http://abmc.gov,True,False,,True,False,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,False,True,False,,2018-04-28T06:11:48.965976Z,2018-04-28T06:11:51.109014Z,2.143038,096c0fd3-4aab-11e8-9d47-71877b10b339,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]df79cbe419864b7589b1ea1fe9a230c2,2018-04-28T06:11:49.313208Z,2018-04-28T06:11:51.101909Z,128,1.788701
abmcscholar.gov,abmcscholar.gov,http://abmcscholar.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:11:49.371211Z,2018-04-28T06:12:10.803102Z,21.431891,097fe60d-4aab-11e8-a94b-87d8950b5817,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]f38c543d88b642c8bb164f0bd97a4ce4,2018-04-28T06:11:49.413218Z,2018-04-28T06:12:10.796541Z,128,21.383323
