Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error,Local Errors,Local Start Time,Local End Time,Local Duration,Lambda Request ID,Lambda Log Group Name,Lambda Log Stream Name,Lambda Start Time,Lambda End Time,Lambda Memory Limit,Lambda Measured Duration
access-board.gov,access-board.gov,https://www.access-board.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:25:52.603734Z,2018-04-28T06:25:54.239721Z,1.635987,001650c8-4aad-11e8-83ad-5551d1069826,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]9a787bd0a0cc48ed89cc91dbdaced975,2018-04-28T06:25:52.616107Z,2018-04-28T06:25:54.234229Z,128,1.618122
accessibility.gov,accessibility.gov,http://accessibility.gov,True,False,,False,False,False,True,False,True,False,False,False,,,False,False,False,True,True,False,False,False,False,,2018-04-28T06:22:46.942271Z,2018-04-28T06:22:51.579967Z,4.637696,916c8acb-4aac-11e8-ae6e-63a204b094d4,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]33c46ffa90814dc2b1bf8c708dfb0586,2018-04-28T06:22:46.937261Z,2018-04-28T06:22:51.43932Z,128,4.502059
acf.gov,acf.gov,http://acf.gov,True,True,,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:16:22.023373Z,2018-04-28T06:16:44.960559Z,22.937186,abfe9079-4aab-11e8-a766-b7d5761432df,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]1cc6f3ec5d344f48a0666eb01071a327,2018-04-28T06:16:22.036856Z,2018-04-28T06:16:44.954242Z,128,22.917386
achp.gov,achp.gov,http://achp.gov,True,False,,False,False,False,False,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:11:49.131035Z,2018-04-28T06:11:57.514497Z,8.383462,0978e10e-4aab-11e8-af59-a99327432a74,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]65962543931149f8a8a11fc9264cae7b,2018-04-28T06:11:49.391508Z,2018-04-28T06:11:57.453711Z,128,8.062203
acl.gov,acl.gov,https://www.acl.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,True,True,False,False,False,True,True,True,False,,2018-04-28T06:16:24.896799Z,2018-04-28T06:16:27.026751Z,2.129952,adb4f294-4aab-11e8-8406-65e98b59d4c1,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]bf342b482ce84c3ea628443c12a10eab,2018-04-28T06:16:24.964293Z,2018-04-28T06:16:27.021165Z,128,2.056872
acquisition.gov,acquisition.gov,https://acquisition.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains;preload;,63072000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:22:47.061274Z,2018-04-28T06:22:49.558807Z,2.497533,917eb346-4aac-11e8-a486-25ba08b28cc8,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]004864a9b4ec476abd4bdb312f7068d6,2018-04-28T06:22:47.06957Z,2018-04-28T06:22:49.553993Z,128,2.484423
acus.gov,acus.gov,https://acus.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:11:49.267282Z,2018-04-28T06:11:51.309237Z,2.041955,097eadb4-4aab-11e8-a3a9-8fcac87ad722,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]10b7eb4f808342cc987bbfbb179ef80e,2018-04-28T06:11:49.423908Z,2018-04-28T06:11:51.304377Z,128,1.880469
acwi.gov,acwi.gov,https://acwi.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:19:33.965919Z,2018-04-28T06:19:38.27367Z,4.307751,1e684493-4aac-11e8-b591-e3794bfabfa4,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]de0cb6fb638740a98402f78337166a04,2018-04-28T06:19:33.985883Z,2018-04-28T06:19:38.266955Z,128,4.281072
ada.gov,ada.gov,https://www.ada.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:18:22.926521Z,2018-04-28T06:18:24.937562Z,2.011041,f40ee5ed-4aab-11e8-be9a-5f03510d4b48,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]7a9232a096824e4198ee7b63aae64343,2018-04-28T06:18:22.944021Z,2018-04-28T06:18:24.933831Z,128,1.989810
adf.gov,adf.gov,http://adf.gov,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:25:54.283681Z,2018-04-28T06:25:58.85851Z,4.574829,011681d0-4aad-11e8-9638-0df1b13913aa,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]9a787bd0a0cc48ed89cc91dbdaced975,2018-04-28T06:25:54.292786Z,2018-04-28T06:25:58.853969Z,128,4.561183
adlnet.gov,adlnet.gov,http://adlnet.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,,2018-04-28T06:13:57.080125Z,2018-04-28T06:13:58.564862Z,1.484737,5599dd1a-4aab-11e8-9bd1-0d6fafd1c3b2,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]2e37a870f3ef4cf48a1225fbb0aa6360,2018-04-28T06:13:57.093658Z,2018-04-28T06:13:58.554972Z,128,1.461314
admongo.gov,admongo.gov,https://admongo.gov,True,True,https://www.consumer.ftc.gov/admongo,False,True,False,True,False,True,False,False,False,,,False,False,False,True,True,False,False,False,False,,2018-04-28T06:22:37.586562Z,2018-04-28T06:22:40.618535Z,3.031973,8bd8ed48-4aac-11e8-b8e6-9decd6e6b78d,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]004864a9b4ec476abd4bdb312f7068d6,2018-04-28T06:22:37.595081Z,2018-04-28T06:22:40.614218Z,128,3.019137
adr.gov,adr.gov,https://www.adr.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:18:24.980863Z,2018-04-28T06:18:27.207521Z,2.226658,f5487756-4aab-11e8-b657-0fd60343e08d,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]7acc18f3c8f04d26a48615198bf51def,2018-04-28T06:18:24.993501Z,2018-04-28T06:18:27.20293Z,128,2.209429
afadvantage.gov,afadvantage.gov,https://afadvantage.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False,,2018-04-28T06:22:47.20342Z,2018-04-28T06:22:49.996484Z,2.793064,91945e18-4aac-11e8-9a76-f35d3b5897b4,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]c115761cd3904577a0cb133d1a38c122,2018-04-28T06:22:47.211986Z,2018-04-28T06:22:49.960203Z,128,2.748217
aff.gov,aff.gov,https://www.aff.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:25:06.223736Z,2018-04-28T06:25:08.29929Z,2.075554,e47149d1-4aac-11e8-994c-7f5fe15163db,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]00b3e2a6d0ef43358bed07710ef787df,2018-04-28T06:25:06.236915Z,2018-04-28T06:25:08.293851Z,128,2.056936
afrh.gov,afrh.gov,https://www.afrh.gov,True,False,,False,True,False,True,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:11:49.040259Z,2018-04-28T06:11:53.957208Z,4.916949,0966b90a-4aab-11e8-b114-f1aa1461cd29,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]f7cad3ed07754b52beb98a723050992b,2018-04-28T06:11:49.297699Z,2018-04-28T06:11:53.880936Z,128,4.583237
africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,http://africanamericanhistorymonth.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False,,2018-04-28T06:27:07.259144Z,2018-04-28T06:27:12.650395Z,5.391251,2c95c2ff-4aad-11e8-91a6-83ba991ea3e0,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]542867b005dc4f039da9b43b3be6b332,2018-04-28T06:27:07.268418Z,2018-04-28T06:27:12.645865Z,128,5.377447
aftac.gov,aftac.gov,http://aftac.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:13:57.958257Z,2018-04-28T06:13:59.44024Z,1.481983,561ffc90-4aab-11e8-9a4b-673ead60b920,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]456d0d0643264082b4cc7a8daea6b8f1,2018-04-28T06:13:57.964724Z,2018-04-28T06:13:59.432866Z,128,1.468142
afterschool.gov,afterschool.gov,http://www.afterschool.gov,True,True,http://findyouthinfo.gov/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:16:27.071511Z,2018-04-28T06:17:09.248573Z,42.177062,af00d3e4-4aab-11e8-a44c-35b625dbd05e,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]0ea7b5ce69474623b1fd3416e34f9f2d,2018-04-28T06:16:27.082274Z,2018-04-28T06:17:09.244545Z,128,42.162271
ag.gov,ag.gov,http://ag.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:25:08.343403Z,2018-04-28T06:25:49.378525Z,41.035122,e5b49ed9-4aac-11e8-b70b-4d15a433e5ef,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]00b3e2a6d0ef43358bed07710ef787df,2018-04-28T06:25:08.362001Z,2018-04-28T06:25:49.373498Z,128,41.011497
aging.gov,aging.gov,https://aging.gov,True,True,https://www.hhs.gov/aging/index.html,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubdomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:16:31.54464Z,2018-04-28T06:16:33.983038Z,2.438398,b1ab5a83-4aab-11e8-90ec-2da31d0516d0,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]e73c8e9b80074f9990592f2805eeb552,2018-04-28T06:16:31.552578Z,2018-04-28T06:16:33.975535Z,128,2.422957
agingstats.gov,agingstats.gov,https://agingstats.gov,True,False,,True,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False,,2018-04-28T06:16:34.027681Z,2018-04-28T06:16:36.180079Z,2.152398,b32661af-4aab-11e8-b6b7-4512eca8c107,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]e73c8e9b80074f9990592f2805eeb552,2018-04-28T06:16:34.042254Z,2018-04-28T06:16:36.173709Z,128,2.131455
ahcpr.gov,ahcpr.gov,https://ahcpr.gov,True,True,https://www.ahrq.gov/,True,True,False,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:16:36.224261Z,2018-04-28T06:16:38.34431Z,2.120049,b475764b-4aab-11e8-9f8a-4bd88551b251,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]e993a21dead149cfa98f4a88fe52af81,2018-04-28T06:16:36.240009Z,2018-04-28T06:16:38.339272Z,128,2.099263
ahrq.gov,ahrq.gov,https://www.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:16:38.308359Z,2018-04-28T06:16:40.419292Z,2.110933,b5b39c3a-4aab-11e8-9a17-f5d8fae36c9c,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]c115761cd3904577a0cb133d1a38c122,2018-04-28T06:16:38.322326Z,2018-04-28T06:16:40.414637Z,128,2.092311
aids.gov,aids.gov,http://aids.gov,True,True,https://www.hiv.gov/,True,False,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:16:38.385582Z,2018-04-28T06:16:40.346113Z,1.960531,b5bf5b61-4aab-11e8-9aab-0be689237d1a,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]e993a21dead149cfa98f4a88fe52af81,2018-04-28T06:16:38.395286Z,2018-04-28T06:16:40.329637Z,128,1.934351
airnow.gov,airnow.gov,https://airnow.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:21:27.761681Z,2018-04-28T06:21:30.606292Z,2.844611,623a7aed-4aac-11e8-acb0-5d634cb23db1,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]9830389bbbfa43908ee7d4d455619a1f,2018-04-28T06:21:27.775038Z,2018-04-28T06:21:30.598285Z,128,2.823247
alaskacenters.gov,alaskacenters.gov,https://www.alaskacenters.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:19:34.004143Z,2018-04-28T06:19:36.441645Z,2.437502,1e6c8a5e-4aac-11e8-a912-a719a40c14e9,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]aae9eb90617e4a8e93e02eda9fa4dac3,2018-04-28T06:19:34.014169Z,2018-04-28T06:19:36.428274Z,128,2.414105
alertaenlinea.gov,alertaenlinea.gov,https://alertaenlinea.gov,True,True,https://www.consumidor.ftc.gov/destacado/destacado-s0038-alerta-en-linea,True,True,False,True,False,False,False,False,False,,,False,False,False,True,True,True,True,False,False,,2018-04-28T06:22:37.929719Z,2018-04-28T06:22:42.877519Z,4.947800,8c0d6b5f-4aac-11e8-a27b-4318671a6664,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]00b3e2a6d0ef43358bed07710ef787df,2018-04-28T06:22:37.943886Z,2018-04-28T06:22:42.872704Z,128,4.928818
altusandc.gov,altusandc.gov,http://www.altusandc.gov,True,True,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:13:58.60972Z,2018-04-28T06:14:21.48904Z,22.879320,568352f5-4aab-11e8-bde0-dd5e75823792,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]bf342b482ce84c3ea628443c12a10eab,2018-04-28T06:13:58.622272Z,2018-04-28T06:14:21.481027Z,128,22.858755
alzheimers.gov,alzheimers.gov,https://www.alzheimers.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False,,2018-04-28T06:16:40.390378Z,2018-04-28T06:16:43.101878Z,2.711500,b6f14c23-4aab-11e8-aca6-512a7670f188,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]e993a21dead149cfa98f4a88fe52af81,2018-04-28T06:16:40.405515Z,2018-04-28T06:16:43.096743Z,128,2.691228
ama.gov,ama.gov,https://www.ama.gov,True,True,https://sso.treasury.gov/login/forms/uid/fsprod?TYPE=33554433&REALMOID=06-1a0d7f9a-c0dd-1007-85bb-862082da0000&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-f%2bFcIUx5%2fQ%2frxjlMXgUs4gY4RcY4gMDWB2HD%2fSBgd6WIe7CON7WHsZX4R8UFfGh%2faF%2baRwZQxEQZ%2fiWvtg9iEsGbURYbWGj6&TARGET=-SM-HTTPS%3a%2f%2fsso.treasury.gov%2flogin%2fredirect%2fuid%2ffsprod%3fSAMLRequest%3dfZJdT8IwFIb-%2FytJ71q58uDRsyYQYSVAJoBfemNKdwZKtnT0dk39vGRo1MVz3fZ9z-%2BrRTlHXViKx1B72G9xbQBR91pVH0BwlprRZGYolCyxpQOCU22cNS8JCJxhpnlKlIkCGCdaXRM6OxrcFuwB5LBc-%2FrZUIOzjUoKO26LpS1DPfmSM90ig31iKKsgDYGHZUKSTD3K5RanmE-%2FVUQTOgsSW3vq-%2B7IoOtjhZQrSpt1Vpeqp3GdJsJgn5I3nwMfDcR7FKlac5-%2FGET4ZScTaB-%2BCbiTI7iiIEPI7aw0OikdgnhLIoHbDTg8ZZNBGciikPG-%2BCsJ7oxV0KtKSCEr9NXVl4LbUuel3l-%2F3tbuEUNxvt6vB6mmzJcELWOyv6gMknZ5vIPp97K93uI6V3-%2FJJ-%2Bo-%2FqKf3FvAxoxKOHLOYr46WdgqyqTDfzdh0kxNkWCE0vrb8fI-%2F0E%26SMPORTALURL%3dhttps-%3A-%2F-%2Fsso.treasury.gov-%2Faffwebservices-%2Fpublic-%2Fsaml2sso,True,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True,False,,2018-04-28T06:20:15.003268Z,2018-04-28T06:20:18.916041Z,3.912773,36dc7d43-4aac-11e8-ae53-c1311aa7bd5d,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]103f0a0509234f119a1bb5ae0648d0ec,2018-04-28T06:20:15.01233Z,2018-04-28T06:20:18.911539Z,128,3.899209
amberalert.gov,amberalert.gov,https://amberalert.gov,True,False,,False,True,False,True,True,False,False,False,True,max-age=31536000; includeSubDomains; always,31536000,True,False,False,True,True,True,True,True,False,,2018-04-28T06:18:25.025073Z,2018-04-28T06:18:33.019069Z,7.993996,f54f2dd9-4aab-11e8-aa47-b5edc2fba03d,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]00b3e2a6d0ef43358bed07710ef787df,2018-04-28T06:18:25.032061Z,2018-04-28T06:18:33.014225Z,128,7.982164
america.gov,america.gov,https://america.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False,,2018-04-28T06:19:24.378998Z,2018-04-28T06:19:28.09756Z,3.718562,18afbab9-4aac-11e8-9aa5-4175b19e5dfe,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]00b3e2a6d0ef43358bed07710ef787df,2018-04-28T06:19:24.388308Z,2018-04-28T06:19:28.092438Z,128,3.704130
americanmemory.gov,americanmemory.gov,http://americanmemory.gov,True,True,https://www.loc.gov/,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:27:09.121167Z,2018-04-28T06:27:13.020614Z,3.899447,2db1e174-4aad-11e8-9648-dbf3a1a983be,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]9dd382faee3544c4841fd67bcfe8232e,2018-04-28T06:27:09.130557Z,2018-04-28T06:27:13.015555Z,128,3.884998
americaslibrary.gov,americaslibrary.gov,http://www.americaslibrary.gov,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:27:09.686938Z,2018-04-28T06:27:13.267486Z,3.580548,2e083f86-4aad-11e8-9080-053b63bb6e0a,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]b97a46c1e01d47f685011e4d37087137,2018-04-28T06:27:09.70078Z,2018-04-28T06:27:13.262043Z,128,3.561263
americasstory.gov,americasstory.gov,http://americasstory.gov,True,True,http://www.americaslibrary.gov/,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:27:12.465294Z,2018-04-28T06:27:16.482934Z,4.017640,2fb022a9-4aad-11e8-89ab-4f1bf6e665f7,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]7c4e0b86c60340e399f6ce3957c10bb8,2018-04-28T06:27:12.458274Z,2018-04-28T06:27:16.4601Z,128,4.001826
americathebeautifulquarters.gov,americathebeautifulquarters.gov,https://americathebeautifulquarters.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31560000; includeSubDomains; preload,31560000,True,True,False,False,False,True,True,True,False,,2018-04-28T06:20:17.171005Z,2018-04-28T06:20:22.883213Z,5.712208,38274d37-4aac-11e8-8e1c-a15fac96437d,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]20147c99928e460a8e04bf50c230b0b7,2018-04-28T06:20:17.179051Z,2018-04-28T06:20:22.878821Z,128,5.699770
americorp.gov,americorp.gov,http://americorp.gov,True,True,https://www.nationalservice.gov/programs/americorps,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,2018-04-28T06:12:34.767895Z,2018-04-28T06:12:39.583048Z,4.815153,248a0cfc-4aab-11e8-9a52-6fa434fa89d6,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]bf342b482ce84c3ea628443c12a10eab,2018-04-28T06:12:34.784347Z,2018-04-28T06:12:39.574906Z,128,4.790559
americorps.gov,americorps.gov,http://americorps.gov,True,True,https://www.nationalservice.gov/programs/americorps,True,False,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False,,2018-04-28T06:12:36.284059Z,2018-04-28T06:12:39.112817Z,2.828758,25718608-4aab-11e8-9834-0582acbdb95c,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]eb4062bb1e044ca7bd6f6f33e8cf90dc,2018-04-28T06:12:36.294509Z,2018-04-28T06:12:39.109124Z,128,2.814615
ameslab.gov,ameslab.gov,https://www.ameslab.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False,,2018-04-28T06:15:09.488426Z,2018-04-28T06:15:10.856847Z,1.368421,80c29959-4aab-11e8-843e-d98b75b5389b,/aws/lambda/task_pshtt,2018/04/28/[$LATEST]103f0a0509234f119a1bb5ae0648d0ec,2018-04-28T06:15:09.512744Z,2018-04-28T06:15:10.816113Z,128,1.303369
