Domain,Base Domain,Scanned Hostname,Scanned Port,STARTTLS SMTP,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,TLSv1.3,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Asserts EV,Trusted for EV,EV Trusted OIDs,EV Trusted Browsers,Is Symantec Cert,Symantec Distrust Date,Errors,Local Errors,Local Start Time,Local End Time,Local Duration,Lambda Request ID,Lambda Log Group Name,Lambda Log Stream Name,Lambda Start Time,Lambda End Time,Lambda Memory Limit,Lambda Measured Duration
americorps.gov,americorps.gov,americorps.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-10-03T00:00:00,2018-10-06T23:59:59,GeoTrust Global CA,GeoTrust Global CA,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:29:53.301235Z,2018-04-28T06:30:05.628687Z,12.327452,8f8dc309-4aad-11e8-9a0d-ef19c22e0054,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:29:53.314525Z,2018-04-28T06:30:05.626077Z,256,12.311552
ameslab.gov,ameslab.gov,www.ameslab.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-04-20T18:19:35,2018-07-19T18:19:35,DST Root CA X3,DST Root CA X3,False,False,,,False,,,,2018-04-28T06:30:48.600934Z,2018-04-28T06:30:52.228662Z,3.627728,b083df1c-4aad-11e8-b422-bf6c2062a03d,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]ca72691e1f504ad89a43c9cd77acf4c9,2018-04-28T06:30:48.61178Z,2018-04-28T06:30:52.18819Z,256,3.576410
amtrakoig.gov,amtrakoig.gov,amtrakoig.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2016-04-25T17:52:59,2018-05-26T17:52:59,GlobalSign Root CA,GlobalSign Root CA,False,False,,,False,,,,2018-04-28T06:29:40.161735Z,2018-04-28T06:29:43.672772Z,3.511037,87b8c201-4aad-11e8-886e-b178651642c6,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:29:40.170908Z,2018-04-28T06:29:43.664743Z,256,3.493835
anchorit.gov,anchorit.gov,anchorit.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,True,False,2018-02-15T19:07:01,2019-09-04T14:31:39,Go Daddy Class 2 Certification Authority,Go Daddy Root Certificate Authority - G2,False,False,,,False,,,,2018-04-28T06:29:49.204657Z,2018-04-28T06:29:53.283809Z,4.079152,8d1cc337-4aad-11e8-a154-139b81d62851,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:29:49.218772Z,2018-04-28T06:29:53.27859Z,256,4.059818
anl.gov,anl.gov,www.anl.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2017-11-27T00:00:00,2019-11-28T23:59:59,VeriSign Class 3 Public Primary Certification Authority - G5,VeriSign Class 3 Public Primary Certification Authority - G5,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:30:48.648079Z,2018-04-28T06:30:53.148857Z,4.500778,b08abd16-4aad-11e8-9ecb-693af5a12922,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:30:48.659371Z,2018-04-28T06:30:53.145777Z,256,4.486406
annualcreditreport.gov,annualcreditreport.gov,annualcreditreport.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-04-19T00:00:00,2018-12-20T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:35:40.648778Z,2018-04-28T06:35:47.628575Z,6.979797,5e96b4b2-4aae-11e8-b600-3fd0c6bd1c68,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:35:40.66872Z,2018-04-28T06:35:47.625244Z,256,6.956524
anstaskforce.gov,anstaskforce.gov,anstaskforce.gov,443,False,False,False,False,False,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2017-02-03T00:00:00,2020-02-03T23:59:59,AddTrust External CA Root,COMODO RSA Certification Authority,False,False,,,False,,,,2018-04-28T06:33:25.339435Z,2018-04-28T06:33:29.578764Z,4.239329,0df03179-4aae-11e8-83a9-b97e96fff553,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:33:25.348145Z,2018-04-28T06:33:29.574448Z,256,4.226303
aoa.gov,aoa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:31:23.170152Z,2018-04-28T06:31:23.181585Z,0.011433,c51eaf1b-4aad-11e8-8ffd-fb72775ff4dd,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]ca72691e1f504ad89a43c9cd77acf4c9,2018-04-28T06:31:23.178155Z,2018-04-28T06:31:23.178234Z,256,0.000079
aoc.gov,aoc.gov,aoc.gov,443,False,False,True,True,True,True,False,True,False,256,True,False,True,RSA,2048,sha256,False,False,2016-04-11T17:45:18,2019-04-07T18:15:17,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:38:00.239527Z,2018-04-28T06:38:06.059582Z,5.820055,b1ca9a8d-4aae-11e8-82d7-bb3e06072881,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:38:00.253012Z,2018-04-28T06:38:06.054526Z,256,5.801514
ap.gov,ap.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:30:01.489423Z,2018-04-28T06:30:01.502272Z,0.012849,946f2709-4aad-11e8-8623-a9fbc7eec9a0,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]1f68abd105ee40f4a563f7f02c52f828,2018-04-28T06:30:01.497966Z,2018-04-28T06:30:01.498029Z,256,0.000063
app.gov,app.gov,app.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-04-12T13:31:06,2018-07-11T13:31:06,DST Root CA X3,DST Root CA X3,False,False,,,False,,,,2018-04-28T06:35:50.253241Z,2018-04-28T06:35:53.78996Z,3.536719,645050b8-4aae-11e8-97ff-51d37e80cc41,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:35:50.264299Z,2018-04-28T06:35:53.766231Z,256,3.501932
applicationmanager.gov,applicationmanager.gov,applicationmanager.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-04-13T00:00:00,2019-07-13T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:37:04.727779Z,2018-04-28T06:37:08.623738Z,3.895959,90b44c8b-4aae-11e8-ac99-79d8b9823295,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:37:04.756707Z,2018-04-28T06:37:08.618633Z,256,3.861926
