Domain,Base Domain,Scanned Hostname,Scanned Port,STARTTLS SMTP,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,TLSv1.3,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Asserts EV,Trusted for EV,EV Trusted OIDs,EV Trusted Browsers,Is Symantec Cert,Symantec Distrust Date,Errors,Local Errors,Local Start Time,Local End Time,Local Duration,Lambda Request ID,Lambda Log Group Name,Lambda Log Stream Name,Lambda Start Time,Lambda End Time,Lambda Memory Limit,Lambda Measured Duration
ag.gov,ag.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:37:28.099863Z,2018-04-28T06:37:28.116931Z,0.017068,9ea26dc8-4aae-11e8-bd37-9728fc6a5980,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]b5b95140a9664c9384cccfce21bb6bd7,2018-04-28T06:37:28.113381Z,2018-04-28T06:37:28.113483Z,256,0.000102
aging.gov,aging.gov,aging.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2017-07-18T00:00:00,2018-09-27T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:31:19.189618Z,2018-04-28T06:31:24.342226Z,5.152608,c2bf3a82-4aad-11e8-858f-d9ef17d10223,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:31:19.203423Z,2018-04-28T06:31:24.3372Z,256,5.133777
agingstats.gov,agingstats.gov,agingstats.gov,443,False,False,False,True,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-10-05T16:42:39,2019-10-19T17:12:38,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:31:19.648341Z,2018-04-28T06:31:23.169047Z,3.520706,c3051d44-4aad-11e8-b27d-474d547046ff,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]ca72691e1f504ad89a43c9cd77acf4c9,2018-04-28T06:31:19.664825Z,2018-04-28T06:31:23.164734Z,256,3.499909
ahcpr.gov,ahcpr.gov,ahcpr.gov,443,False,False,False,True,False,False,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-01-03T00:00:00,2019-12-22T23:59:59,VeriSign Class 3 Public Primary Certification Authority - G5,VeriSign Class 3 Public Primary Certification Authority - G5,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:31:19.847362Z,2018-04-28T06:31:23.368065Z,3.520703,c323a273-4aad-11e8-9493-89aea2d40b7a,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]768329baaf264de5bc173ff89209f0ee,2018-04-28T06:31:19.859181Z,2018-04-28T06:31:23.363178Z,256,3.503997
ahrq.gov,ahrq.gov,www.ahrq.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-28T00:00:00,2019-03-28T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:31:20.01237Z,2018-04-28T06:31:24.194064Z,4.181694,c33ccf23-4aad-11e8-865c-87d2d8346d57,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:31:20.022937Z,2018-04-28T06:31:24.185792Z,256,4.162855
aids.gov,aids.gov,aids.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,True,,2017-05-10T00:00:00,2019-05-09T12:00:00,DigiCert Global Root CA,,False,False,,,False,,,,2018-04-28T06:31:20.210838Z,2018-04-28T06:31:24.40617Z,4.195332,c35b061f-4aad-11e8-a0ca-13df282d3893,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]a3e6e0eb581f4f98aba841caeff9fbd4,2018-04-28T06:31:20.223976Z,2018-04-28T06:31:24.404161Z,256,4.180185
airnow.gov,airnow.gov,airnow.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2018-01-18T00:00:00,2020-01-23T12:00:00,DigiCert High Assurance EV Root CA,DigiCert High Assurance EV Root CA,True,True,2.16.840.1.114412.2.1,"Mozilla, Google, Microsoft, Apple",False,,,,2018-04-28T06:35:09.030094Z,2018-04-28T06:35:13.34689Z,4.316796,4bbe077c-4aae-11e8-97b5-f7de68690741,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f265f99755db447ab9d1d5120c974b2e,2018-04-28T06:35:09.038637Z,2018-04-28T06:35:13.341941Z,256,4.303304
alaskacenters.gov,alaskacenters.gov,www.alaskacenters.gov,443,False,False,False,False,False,True,False,True,True,256,False,False,False,RSA,2048,sha256,True,False,2017-11-03T18:21:00,2019-11-03T18:21:00,Go Daddy Class 2 Certification Authority,Go Daddy Root Certificate Authority - G2,False,False,,,False,,,,2018-04-28T06:33:25.214647Z,2018-04-28T06:33:29.306146Z,4.091499,0ddd4556-4aae-11e8-b8b5-499e7b3a7683,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:33:25.222781Z,2018-04-28T06:33:29.298059Z,256,4.075278
alertaenlinea.gov,alertaenlinea.gov,alertaenlinea.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-28T00:00:00,2019-04-01T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:35:40.120844Z,2018-04-28T06:35:44.179998Z,4.059154,5e4623e6-4aae-11e8-baaf-2bdb75a30957,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]b5b95140a9664c9384cccfce21bb6bd7,2018-04-28T06:35:40.133329Z,2018-04-28T06:35:44.155081Z,256,4.021752
altusandc.gov,altusandc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:30:28.028333Z,2018-04-28T06:30:28.039668Z,0.011335,a44087b8-4aad-11e8-ad13-47df43dd565c,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:30:28.032408Z,2018-04-28T06:30:28.032486Z,256,0.000078
alzheimers.gov,alzheimers.gov,www.alzheimers.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,,2017-09-29T00:00:00,2019-10-03T12:00:00,DigiCert High Assurance EV Root CA,,True,True,2.16.840.1.114412.2.1,"Mozilla, Google, Microsoft, Apple",False,,,,2018-04-28T06:31:23.091988Z,2018-04-28T06:31:26.871205Z,3.779217,c512ef04-4aad-11e8-a77e-edd9d7766a01,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:31:23.097227Z,2018-04-28T06:31:26.862717Z,256,3.765490
ama.gov,ama.gov,www.ama.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,True,RSA,2048,sha256,False,False,2017-08-18T11:51:42,2020-08-18T12:21:40,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:34:09.609558Z,2018-04-28T06:34:14.126106Z,4.516548,28534243-4aae-11e8-bc98-21246beff909,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f265f99755db447ab9d1d5120c974b2e,2018-04-28T06:34:09.621597Z,2018-04-28T06:34:14.102376Z,256,4.480779
amberalert.gov,amberalert.gov,amberalert.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,,2017-12-11T00:00:00,2018-12-12T12:00:00,DigiCert SHA2 Secure Server CA,,False,False,,,False,,,,2018-04-28T06:32:25.333402Z,2018-04-28T06:32:35.131343Z,9.797941,ea2c0094-4aad-11e8-a5c4-e5c513be9ddb,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:32:25.342746Z,2018-04-28T06:32:35.123631Z,256,9.780885
america.gov,america.gov,america.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,True,False,2017-10-12T00:00:00,2018-10-12T23:59:59,AddTrust External CA Root,COMODO RSA Certification Authority,False,False,,,False,,,,2018-04-28T06:33:15.627186Z,2018-04-28T06:33:20.585705Z,4.958519,0826428a-4aae-11e8-9e52-c3779269baa3,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]768329baaf264de5bc173ff89209f0ee,2018-04-28T06:33:15.639076Z,2018-04-28T06:33:20.561757Z,256,4.922681
americanmemory.gov,americanmemory.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:13.983761Z,2018-04-28T06:38:14.001756Z,0.017995,b9fbc526-4aae-11e8-a6c6-0d5ab6e28e24,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]1f68abd105ee40f4a563f7f02c52f828,2018-04-28T06:38:13.997149Z,2018-04-28T06:38:13.997233Z,256,0.000084
americaslibrary.gov,americaslibrary.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:14.002577Z,2018-04-28T06:38:14.015498Z,0.012921,b9feabe6-4aae-11e8-afec-cd1397875e49,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]c1d97120766c4d448211278b249ddd54,2018-04-28T06:38:14.01283Z,2018-04-28T06:38:14.012901Z,256,0.000071
americasstory.gov,americasstory.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:14.016314Z,2018-04-28T06:38:14.029469Z,0.013155,ba00a724-4aae-11e8-b537-dfa9c2be6190,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]c1d97120766c4d448211278b249ddd54,2018-04-28T06:38:14.026926Z,2018-04-28T06:38:14.026964Z,256,0.000038
americathebeautifulquarters.gov,americathebeautifulquarters.gov,americathebeautifulquarters.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2016-11-04T21:24:24,2019-09-23T21:54:23,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:34:09.943919Z,2018-04-28T06:34:13.581299Z,3.637380,2886608c-4aae-11e8-9eff-d159369f1d05,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:34:09.956612Z,2018-04-28T06:34:13.576624Z,256,3.620012
americorp.gov,americorp.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:29:53.284985Z,2018-04-28T06:29:53.300359Z,0.015374,8f8b2b04-4aad-11e8-9765-3fb1f351243a,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:29:53.296633Z,2018-04-28T06:29:53.29669Z,256,0.000057
