Domain,Base Domain,Participates in Analytics,Local Errors,Local Start Time,Local End Time,Local Duration
bosque.gov,bosque.gov,True,,2018-04-28T06:38:36.155373Z,2018-04-28T06:38:36.157988Z,0.002615
bpa.gov,bpa.gov,False,,2018-04-28T06:38:35.664563Z,2018-04-28T06:38:35.66669Z,0.002127
brac.gov,brac.gov,True,,2018-04-28T06:38:35.634913Z,2018-04-28T06:38:35.635034Z,0.000121
brainhealth.gov,brainhealth.gov,False,,2018-04-28T06:38:35.700372Z,2018-04-28T06:38:35.702151Z,0.001779
broadband.gov,broadband.gov,False,,2018-04-28T06:38:35.989251Z,2018-04-28T06:38:35.989385Z,0.000134
broadbandmap.gov,broadbandmap.gov,False,,2018-04-28T06:38:35.991193Z,2018-04-28T06:38:35.991322Z,0.000129
bsee.gov,bsee.gov,True,,2018-04-28T06:38:35.849449Z,2018-04-28T06:38:35.851251Z,0.001802
bts.gov,bts.gov,True,,2018-04-28T06:38:35.9414Z,2018-04-28T06:38:35.942616Z,0.001216
budget.gov,budget.gov,False,,2018-04-28T06:38:35.976944Z,2018-04-28T06:38:35.979188Z,0.002244
budgetlob.gov,budgetlob.gov,False,,2018-04-28T06:38:35.653285Z,2018-04-28T06:38:35.654766Z,0.001481
buildingamerica.gov,buildingamerica.gov,False,,2018-04-28T06:38:35.664671Z,2018-04-28T06:38:35.667315Z,0.002644
business.gov,business.gov,False,,2018-04-28T06:38:36.140776Z,2018-04-28T06:38:36.140903Z,0.000127
businessdefense.gov,businessdefense.gov,True,,2018-04-28T06:38:35.636415Z,2018-04-28T06:38:35.636553Z,0.000138
businessusa.gov,businessusa.gov,False,,2018-04-28T06:38:36.026437Z,2018-04-28T06:38:36.027989Z,0.001552
buyaccessible.gov,buyaccessible.gov,True,,2018-04-28T06:38:36.027021Z,2018-04-28T06:38:36.031375Z,0.004354
buyusa.gov,buyusa.gov,True,,2018-04-28T06:38:35.607284Z,2018-04-28T06:38:35.61142Z,0.004136
campusdrugprevention.gov,campusdrugprevention.gov,True,,2018-04-28T06:38:35.785942Z,2018-04-28T06:38:35.788089Z,0.002147
cancer.gov,cancer.gov,True,,2018-04-28T06:38:35.700761Z,2018-04-28T06:38:35.703548Z,0.002787
cancernet.gov,cancernet.gov,False,,2018-04-28T06:38:35.701429Z,2018-04-28T06:38:35.701585Z,0.000156
cao.gov,cao.gov,True,,2018-04-28T06:38:36.027525Z,2018-04-28T06:38:36.02964Z,0.002115
cap.gov,cap.gov,False,,2018-04-28T06:38:35.576259Z,2018-04-28T06:38:35.577703Z,0.001444
capital.gov,capital.gov,False,,2018-04-28T06:38:36.206507Z,2018-04-28T06:38:36.2091Z,0.002593
capitol.gov,capitol.gov,False,,2018-04-28T06:38:36.205033Z,2018-04-28T06:38:36.209287Z,0.004254
capnhq.gov,capnhq.gov,False,,2018-04-28T06:38:35.576853Z,2018-04-28T06:38:35.580916Z,0.004063
casl.gov,casl.gov,False,,2018-04-28T06:38:35.663357Z,2018-04-28T06:38:35.665018Z,0.001661
cavc.gov,cavc.gov,False,,2018-04-28T06:38:36.198187Z,2018-04-28T06:38:36.200273Z,0.002086
cbca.gov,cbca.gov,False,,2018-04-28T06:38:36.027623Z,2018-04-28T06:38:36.029861Z,0.002238
cbi-epa.gov,cbi-epa.gov,False,,2018-04-28T06:38:35.964798Z,2018-04-28T06:38:35.964928Z,0.000130
cbo.gov,cbo.gov,False,,2018-04-28T06:38:36.237991Z,2018-04-28T06:38:36.238127Z,0.000136
cbonews.gov,cbonews.gov,False,,2018-04-28T06:38:36.240218Z,2018-04-28T06:38:36.240347Z,0.000129
cbp.gov,cbp.gov,True,,2018-04-28T06:38:35.758233Z,2018-04-28T06:38:35.758368Z,0.000135
ccac.gov,ccac.gov,True,,2018-04-28T06:38:35.888994Z,2018-04-28T06:38:35.889115Z,0.000121
cdc.gov,cdc.gov,True,,2018-04-28T06:38:35.701717Z,2018-04-28T06:38:35.704801Z,0.003084
cdcpartners.gov,cdcpartners.gov,False,,2018-04-28T06:38:35.702296Z,2018-04-28T06:38:35.707199Z,0.004903
cdfifund.gov,cdfifund.gov,False,,2018-04-28T06:38:35.891574Z,2018-04-28T06:38:35.893361Z,0.001787
ce-ncsc.gov,ce-ncsc.gov,False,,2018-04-28T06:38:35.953067Z,2018-04-28T06:38:35.953192Z,0.000125
cebaf.gov,cebaf.gov,False,,2018-04-28T06:38:35.664458Z,2018-04-28T06:38:35.666415Z,0.001957
cecc.gov,cecc.gov,False,,2018-04-28T06:38:36.238522Z,2018-04-28T06:38:36.24101Z,0.002488
cendi.gov,cendi.gov,False,,2018-04-28T06:38:35.664775Z,2018-04-28T06:38:35.667509Z,0.002734
census.gov,census.gov,True,,2018-04-28T06:38:35.607805Z,2018-04-28T06:38:35.610236Z,0.002431
cep.gov,cep.gov,True,,2018-04-28T06:38:35.607946Z,2018-04-28T06:38:35.608064Z,0.000118
cerebrosano.gov,cerebrosano.gov,False,,2018-04-28T06:38:35.704979Z,2018-04-28T06:38:35.705548Z,0.000569
cfa.gov,cfa.gov,True,,2018-04-28T06:38:36.154151Z,2018-04-28T06:38:36.154278Z,0.000127
cfda.gov,cfda.gov,True,,2018-04-28T06:38:36.027752Z,2018-04-28T06:38:36.030978Z,0.003226
cfo.gov,cfo.gov,True,,2018-04-28T06:38:36.027848Z,2018-04-28T06:38:36.031154Z,0.003306
cfpa.gov,cfpa.gov,False,,2018-04-28T06:38:35.578013Z,2018-04-28T06:38:35.578168Z,0.000155
cfpb.gov,cfpb.gov,False,,2018-04-28T06:38:35.578357Z,2018-04-28T06:38:35.578521Z,0.000164
cftc.gov,cftc.gov,False,,2018-04-28T06:38:35.577265Z,2018-04-28T06:38:35.579222Z,0.001957
challenge.gov,challenge.gov,True,,2018-04-28T06:38:36.028188Z,2018-04-28T06:38:36.028314Z,0.000126
challenges.gov,challenges.gov,False,,2018-04-28T06:38:36.028726Z,2018-04-28T06:38:36.0334Z,0.004674
changeofaddress.gov,changeofaddress.gov,False,,2018-04-28T06:38:36.187625Z,2018-04-28T06:38:36.18775Z,0.000125
chcoc.gov,chcoc.gov,True,,2018-04-28T06:38:36.119698Z,2018-04-28T06:38:36.119819Z,0.000121
chemsafety.gov,chemsafety.gov,False,,2018-04-28T06:38:35.574164Z,2018-04-28T06:38:35.574322Z,0.000158
childcare.gov,childcare.gov,False,,2018-04-28T06:38:35.705673Z,2018-04-28T06:38:35.705818Z,0.000145
childreninadversity.gov,childreninadversity.gov,True,,2018-04-28T06:38:36.145836Z,2018-04-28T06:38:36.14596Z,0.000124
childstats.gov,childstats.gov,True,,2018-04-28T06:38:35.653674Z,2018-04-28T06:38:35.65523Z,0.001556
childwelfare.gov,childwelfare.gov,True,,2018-04-28T06:38:35.708236Z,2018-04-28T06:38:35.710082Z,0.001846
china-commission.gov,china-commission.gov,False,,2018-04-28T06:38:36.238629Z,2018-04-28T06:38:36.238759Z,0.000130
chinacommission.gov,chinacommission.gov,False,,2018-04-28T06:38:36.241364Z,2018-04-28T06:38:36.241503Z,0.000139
choosemyplate.gov,choosemyplate.gov,True,,2018-04-28T06:38:36.15849Z,2018-04-28T06:38:36.160146Z,0.001656
cia.gov,cia.gov,False,,2018-04-28T06:38:35.568305Z,2018-04-28T06:38:35.568455Z,0.000150
cigie.gov,cigie.gov,False,,2018-04-28T06:38:35.599213Z,2018-04-28T06:38:35.599338Z,0.000125
cio.gov,cio.gov,True,,2018-04-28T06:38:36.031545Z,2018-04-28T06:38:36.031677Z,0.000132
citizencosponsors.gov,citizencosponsors.gov,False,,2018-04-28T06:38:36.238985Z,2018-04-28T06:38:36.239114Z,0.000129
citizens.gov,citizens.gov,False,,2018-04-28T06:38:36.243556Z,2018-04-28T06:38:36.245181Z,0.001625
citizenscience.gov,citizenscience.gov,True,,2018-04-28T06:38:36.031835Z,2018-04-28T06:38:36.031957Z,0.000122
civilrightsusa.gov,civilrightsusa.gov,False,,2018-04-28T06:38:35.608575Z,2018-04-28T06:38:35.613221Z,0.004646
cjis.gov,cjis.gov,False,,2018-04-28T06:38:35.786054Z,2018-04-28T06:38:35.786188Z,0.000134
climate.gov,climate.gov,True,,2018-04-28T06:38:35.608795Z,2018-04-28T06:38:35.608921Z,0.000126
clinicaltrial.gov,clinicaltrial.gov,False,,2018-04-28T06:38:35.706018Z,2018-04-28T06:38:35.706153Z,0.000135
clinicaltrials.gov,clinicaltrials.gov,False,,2018-04-28T06:38:35.708353Z,2018-04-28T06:38:35.708478Z,0.000125
clintonlibrary.gov,clintonlibrary.gov,True,,2018-04-28T06:38:36.090046Z,2018-04-28T06:38:36.09017Z,0.000124
cloud.gov,cloud.gov,True,,2018-04-28T06:38:36.034019Z,2018-04-28T06:38:36.035945Z,0.001926
cms.gov,cms.gov,True,,2018-04-28T06:38:35.706611Z,2018-04-28T06:38:35.706738Z,0.000127
cmts.gov,cmts.gov,False,,2018-04-28T06:38:35.63957Z,2018-04-28T06:38:35.639702Z,0.000132
cncs.gov,cncs.gov,False,,2018-04-28T06:38:35.589415Z,2018-04-28T06:38:35.589544Z,0.000129
cncsoig.gov,cncsoig.gov,False,,2018-04-28T06:38:35.593486Z,2018-04-28T06:38:35.595395Z,0.001909
cns.gov,cns.gov,False,,2018-04-28T06:38:35.59383Z,2018-04-28T06:38:35.598188Z,0.004358
cnss.gov,cnss.gov,False,,2018-04-28T06:38:35.63793Z,2018-04-28T06:38:35.638063Z,0.000133
code.gov,code.gov,False,,2018-04-28T06:38:35.974071Z,2018-04-28T06:38:35.974201Z,0.000130
collegedrinkingprevention.gov,collegedrinkingprevention.gov,False,,2018-04-28T06:38:35.708677Z,2018-04-28T06:38:35.708805Z,0.000128
collegenavigator.gov,collegenavigator.gov,False,,2018-04-28T06:38:35.6542Z,2018-04-28T06:38:35.658665Z,0.004465
commerce.gov,commerce.gov,True,,2018-04-28T06:38:35.609897Z,2018-04-28T06:38:35.612613Z,0.002716
complaintreferralexpress.gov,complaintreferralexpress.gov,False,,2018-04-28T06:38:35.891725Z,2018-04-28T06:38:35.89185Z,0.000125
compliance.gov,compliance.gov,False,,2018-04-28T06:38:36.208253Z,2018-04-28T06:38:36.213521Z,0.005268
comptrollerofthecurrency.gov,comptrollerofthecurrency.gov,True,,2018-04-28T06:38:35.893496Z,2018-04-28T06:38:35.893619Z,0.000123
computersforlearning.gov,computersforlearning.gov,True,,2018-04-28T06:38:36.032373Z,2018-04-28T06:38:36.03469Z,0.002317
congress.gov,congress.gov,False,,2018-04-28T06:38:36.221239Z,2018-04-28T06:38:36.222866Z,0.001627
congressionaldirectory.gov,congressionaldirectory.gov,False,,2018-04-28T06:38:36.209469Z,2018-04-28T06:38:36.209601Z,0.000132
congressionalrecord.gov,congressionalrecord.gov,False,,2018-04-28T06:38:36.20975Z,2018-04-28T06:38:36.209908Z,0.000158
connect.gov,connect.gov,True,,2018-04-28T06:38:36.032754Z,2018-04-28T06:38:36.032895Z,0.000141
consumer.gov,consumer.gov,True,,2018-04-28T06:38:36.012331Z,2018-04-28T06:38:36.013942Z,0.001611
consumeraction.gov,consumeraction.gov,False,,2018-04-28T06:38:36.034955Z,2018-04-28T06:38:36.036925Z,0.001970
consumerbureau.gov,consumerbureau.gov,False,,2018-04-28T06:38:35.582736Z,2018-04-28T06:38:35.583758Z,0.001022
consumerfinance.gov,consumerfinance.gov,True,,2018-04-28T06:38:35.582847Z,2018-04-28T06:38:35.583964Z,0.001117
consumerfinancial.gov,consumerfinancial.gov,False,,2018-04-28T06:38:35.582952Z,2018-04-28T06:38:35.584185Z,0.001233
consumerfinancialbureau.gov,consumerfinancialbureau.gov,False,,2018-04-28T06:38:35.583053Z,2018-04-28T06:38:35.584694Z,0.001641
consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,False,,2018-04-28T06:38:35.583151Z,2018-04-28T06:38:35.584869Z,0.001718
consumerprotection.gov,consumerprotection.gov,False,,2018-04-28T06:38:35.583247Z,2018-04-28T06:38:35.585533Z,0.002286
consumerprotectionbureau.gov,consumerprotectionbureau.gov,False,,2018-04-28T06:38:35.583341Z,2018-04-28T06:38:35.585712Z,0.002371
consumersentinel.gov,consumersentinel.gov,False,,2018-04-28T06:38:36.012426Z,2018-04-28T06:38:36.014877Z,0.002451
consumersentinelnetwork.gov,consumersentinelnetwork.gov,False,,2018-04-28T06:38:36.01252Z,2018-04-28T06:38:36.015328Z,0.002808
consumidor.gov,consumidor.gov,True,,2018-04-28T06:38:36.012614Z,2018-04-28T06:38:36.015693Z,0.003079
contractdirectory.gov,contractdirectory.gov,True,,2018-04-28T06:38:36.034359Z,2018-04-28T06:38:36.039266Z,0.004907
copyright.gov,copyright.gov,False,,2018-04-28T06:38:36.221337Z,2018-04-28T06:38:36.223173Z,0.001836
coralreef.gov,coralreef.gov,True,,2018-04-28T06:38:35.849543Z,2018-04-28T06:38:35.851889Z,0.002346
cosponsor.gov,cosponsor.gov,False,,2018-04-28T06:38:36.243658Z,2018-04-28T06:38:36.245866Z,0.002208
cpars.gov,cpars.gov,True,,2018-04-28T06:38:36.034834Z,2018-04-28T06:38:36.036744Z,0.001910
cpnireporting.gov,cpnireporting.gov,False,,2018-04-28T06:38:35.759624Z,2018-04-28T06:38:35.759754Z,0.000130
cpsc.gov,cpsc.gov,True,,2018-04-28T06:38:35.583618Z,2018-04-28T06:38:35.587062Z,0.003444
crb.gov,crb.gov,False,,2018-04-28T06:38:36.221433Z,2018-04-28T06:38:36.223612Z,0.002179
crimesolutions.gov,crimesolutions.gov,True,,2018-04-28T06:38:35.786833Z,2018-04-28T06:38:35.791844Z,0.005011
crimevictims.gov,crimevictims.gov,True,,2018-04-28T06:38:35.790153Z,2018-04-28T06:38:35.790275Z,0.000122
crisisnextdoor.gov,crisisnextdoor.gov,False,,2018-04-28T06:38:35.975122Z,2018-04-28T06:38:35.975257Z,0.000135
crs.gov,crs.gov,False,,2018-04-28T06:38:36.221528Z,2018-04-28T06:38:36.22438Z,0.002852
crt2014-2024review.gov,crt2014-2024review.gov,False,,2018-04-28T06:38:35.664872Z,2018-04-28T06:38:35.668224Z,0.003352
csb.gov,csb.gov,False,,2018-04-28T06:38:35.577152Z,2018-04-28T06:38:35.581515Z,0.004363
csce.gov,csce.gov,False,,2018-04-28T06:38:36.243044Z,2018-04-28T06:38:36.244187Z,0.001143
csosa.fed.us,csosa.fed.us,False,,2018-04-28T06:38:35.601731Z,2018-04-28T06:38:35.601867Z,0.000136
