Domain,Base Domain,Participates in Analytics,Local Errors,Local Start Time,Local End Time,Local Duration
18f.gov,18f.gov,False,,2018-04-28T06:38:36.027319Z,2018-04-28T06:38:36.029085Z,0.001766
2020census.gov,2020census.gov,True,,2018-04-28T06:38:35.60461Z,2018-04-28T06:38:35.604729Z,0.000119
9-11commission.gov,9-11commission.gov,False,,2018-04-28T06:38:36.089442Z,2018-04-28T06:38:36.091888Z,0.002446
911.gov,911.gov,False,,2018-04-28T06:38:35.93668Z,2018-04-28T06:38:35.938725Z,0.002045
911commission.gov,911commission.gov,False,,2018-04-28T06:38:36.089536Z,2018-04-28T06:38:36.092091Z,0.002555
aapi.gov,aapi.gov,False,,2018-04-28T06:38:35.654624Z,2018-04-28T06:38:35.65771Z,0.003086
abandonedmines.gov,abandonedmines.gov,False,,2018-04-28T06:38:35.844193Z,2018-04-28T06:38:35.846694Z,0.002501
abilityone.gov,abilityone.gov,False,,2018-04-28T06:38:36.178587Z,2018-04-28T06:38:36.178734Z,0.000147
abmc.gov,abmc.gov,True,,2018-04-28T06:38:35.52616Z,2018-04-28T06:38:35.558975Z,0.032815
abmcscholar.gov,abmcscholar.gov,False,,2018-04-28T06:38:35.525709Z,2018-04-28T06:38:35.525871Z,0.000162
access-board.gov,access-board.gov,True,,2018-04-28T06:38:36.182631Z,2018-04-28T06:38:36.182747Z,0.000116
accessibility.gov,accessibility.gov,True,,2018-04-28T06:38:36.023426Z,2018-04-28T06:38:36.023548Z,0.000122
acf.gov,acf.gov,False,,2018-04-28T06:38:35.692612Z,2018-04-28T06:38:35.69274Z,0.000128
achp.gov,achp.gov,False,,2018-04-28T06:38:35.523189Z,2018-04-28T06:38:35.524683Z,0.001494
acl.gov,acl.gov,False,,2018-04-28T06:38:35.695655Z,2018-04-28T06:38:35.701005Z,0.005350
acquisition.gov,acquisition.gov,True,,2018-04-28T06:38:36.023965Z,2018-04-28T06:38:36.026612Z,0.002647
acus.gov,acus.gov,False,,2018-04-28T06:38:35.522854Z,2018-04-28T06:38:35.52354Z,0.000686
acwi.gov,acwi.gov,True,,2018-04-28T06:38:35.844289Z,2018-04-28T06:38:35.8471Z,0.002811
ada.gov,ada.gov,True,,2018-04-28T06:38:35.781431Z,2018-04-28T06:38:35.783619Z,0.002188
adf.gov,adf.gov,False,,2018-04-28T06:38:36.178987Z,2018-04-28T06:38:36.180552Z,0.001565
adlnet.gov,adlnet.gov,True,,2018-04-28T06:38:35.634594Z,2018-04-28T06:38:35.634713Z,0.000119
admongo.gov,admongo.gov,False,,2018-04-28T06:38:36.012019Z,2018-04-28T06:38:36.016093Z,0.004074
adr.gov,adr.gov,True,,2018-04-28T06:38:35.781553Z,2018-04-28T06:38:35.781714Z,0.000161
afadvantage.gov,afadvantage.gov,True,,2018-04-28T06:38:36.024446Z,2018-04-28T06:38:36.024571Z,0.000125
aff.gov,aff.gov,True,,2018-04-28T06:38:36.151357Z,2018-04-28T06:38:36.151481Z,0.000124
afrh.gov,afrh.gov,False,,2018-04-28T06:38:35.565326Z,2018-04-28T06:38:35.565537Z,0.000211
africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,False,,2018-04-28T06:38:36.220202Z,2018-04-28T06:38:36.220332Z,0.000130
aftac.gov,aftac.gov,False,,2018-04-28T06:38:35.633833Z,2018-04-28T06:38:35.633968Z,0.000135
afterschool.gov,afterschool.gov,False,,2018-04-28T06:38:35.695927Z,2018-04-28T06:38:35.696051Z,0.000124
ag.gov,ag.gov,False,,2018-04-28T06:38:36.151718Z,2018-04-28T06:38:36.151843Z,0.000125
aging.gov,aging.gov,False,,2018-04-28T06:38:35.696246Z,2018-04-28T06:38:35.696374Z,0.000128
agingstats.gov,agingstats.gov,False,,2018-04-28T06:38:35.698575Z,2018-04-28T06:38:35.698714Z,0.000139
ahcpr.gov,ahcpr.gov,False,,2018-04-28T06:38:35.700658Z,2018-04-28T06:38:35.702852Z,0.002194
ahrq.gov,ahrq.gov,True,,2018-04-28T06:38:35.696507Z,2018-04-28T06:38:35.696634Z,0.000127
aids.gov,aids.gov,False,,2018-04-28T06:38:35.699038Z,2018-04-28T06:38:35.699173Z,0.000135
airnow.gov,airnow.gov,True,,2018-04-28T06:38:35.963507Z,2018-04-28T06:38:35.96511Z,0.001603
alaskacenters.gov,alaskacenters.gov,True,,2018-04-28T06:38:35.844383Z,2018-04-28T06:38:35.847495Z,0.003112
alertaenlinea.gov,alertaenlinea.gov,False,,2018-04-28T06:38:36.012124Z,2018-04-28T06:38:36.01353Z,0.001406
altusandc.gov,altusandc.gov,False,,2018-04-28T06:38:35.634123Z,2018-04-28T06:38:35.634253Z,0.000130
alzheimers.gov,alzheimers.gov,True,,2018-04-28T06:38:35.697532Z,2018-04-28T06:38:35.697659Z,0.000127
ama.gov,ama.gov,False,,2018-04-28T06:38:35.882239Z,2018-04-28T06:38:35.885327Z,0.003088
amberalert.gov,amberalert.gov,True,,2018-04-28T06:38:35.782575Z,2018-04-28T06:38:35.7827Z,0.000125
america.gov,america.gov,False,,2018-04-28T06:38:35.835091Z,2018-04-28T06:38:35.835216Z,0.000125
americanmemory.gov,americanmemory.gov,False,,2018-04-28T06:38:36.221622Z,2018-04-28T06:38:36.225027Z,0.003405
americaslibrary.gov,americaslibrary.gov,False,,2018-04-28T06:38:36.220745Z,2018-04-28T06:38:36.221864Z,0.001119
americasstory.gov,americasstory.gov,False,,2018-04-28T06:38:36.221031Z,2018-04-28T06:38:36.225918Z,0.004887
americathebeautifulquarters.gov,americathebeautifulquarters.gov,True,,2018-04-28T06:38:35.8867Z,2018-04-28T06:38:35.886818Z,0.000118
americorp.gov,americorp.gov,False,,2018-04-28T06:38:35.589015Z,2018-04-28T06:38:35.592381Z,0.003366
americorps.gov,americorps.gov,False,,2018-04-28T06:38:35.589109Z,2018-04-28T06:38:35.592571Z,0.003462
ameslab.gov,ameslab.gov,False,,2018-04-28T06:38:35.662671Z,2018-04-28T06:38:35.6628Z,0.000129
amtrakoig.gov,amtrakoig.gov,False,,2018-04-28T06:38:35.526576Z,2018-04-28T06:38:35.565159Z,0.038583
anchorit.gov,anchorit.gov,False,,2018-04-28T06:38:35.583434Z,2018-04-28T06:38:35.586744Z,0.003310
anl.gov,anl.gov,False,,2018-04-28T06:38:35.660463Z,2018-04-28T06:38:35.662509Z,0.002046
annualcreditreport.gov,annualcreditreport.gov,False,,2018-04-28T06:38:36.012233Z,2018-04-28T06:38:36.013713Z,0.001480
anstaskforce.gov,anstaskforce.gov,False,,2018-04-28T06:38:35.844477Z,2018-04-28T06:38:35.84776Z,0.003283
aoa.gov,aoa.gov,False,,2018-04-28T06:38:35.700861Z,2018-04-28T06:38:35.703968Z,0.003107
aoc.gov,aoc.gov,False,,2018-04-28T06:38:36.204316Z,2018-04-28T06:38:36.204452Z,0.000136
ap.gov,ap.gov,False,,2018-04-28T06:38:35.60712Z,2018-04-28T06:38:35.609301Z,0.002181
app.gov,app.gov,False,,2018-04-28T06:38:36.02484Z,2018-04-28T06:38:36.024971Z,0.000131
applicationmanager.gov,applicationmanager.gov,True,,2018-04-28T06:38:36.121831Z,2018-04-28T06:38:36.123042Z,0.001211
apps.gov,apps.gov,True,,2018-04-28T06:38:36.027423Z,2018-04-28T06:38:36.029262Z,0.001839
arc.gov,arc.gov,False,,2018-04-28T06:38:35.526962Z,2018-04-28T06:38:35.527513Z,0.000551
archives.gov,archives.gov,True,,2018-04-28T06:38:36.089719Z,2018-04-28T06:38:36.092684Z,0.002965
arctic.gov,arctic.gov,True,,2018-04-28T06:38:36.110088Z,2018-04-28T06:38:36.110218Z,0.000130
arm.gov,arm.gov,False,,2018-04-28T06:38:35.660832Z,2018-04-28T06:38:35.660962Z,0.000130
ars-grin.gov,ars-grin.gov,True,,2018-04-28T06:38:36.153103Z,2018-04-28T06:38:36.153234Z,0.000131
arsusda.gov,arsusda.gov,False,,2018-04-28T06:38:36.154679Z,2018-04-28T06:38:36.156558Z,0.001879
arts.gov,arts.gov,True,,2018-04-28T06:38:36.104911Z,2018-04-28T06:38:36.105046Z,0.000135
asap.gov,asap.gov,False,,2018-04-28T06:38:35.884976Z,2018-04-28T06:38:35.887265Z,0.002289
asc.gov,asc.gov,False,,2018-04-28T06:38:35.533073Z,2018-04-28T06:38:35.566985Z,0.033912
asianpacificheritage.gov,asianpacificheritage.gov,False,,2018-04-28T06:38:36.221138Z,2018-04-28T06:38:36.222537Z,0.001399
askkaren.gov,askkaren.gov,False,,2018-04-28T06:38:36.156058Z,2018-04-28T06:38:36.156189Z,0.000131
atcreform.gov,atcreform.gov,False,,2018-04-28T06:38:35.937075Z,2018-04-28T06:38:35.937217Z,0.000142
atf.gov,atf.gov,True,,2018-04-28T06:38:35.782921Z,2018-04-28T06:38:35.783056Z,0.000135
atfonline.gov,atfonline.gov,False,,2018-04-28T06:38:35.785148Z,2018-04-28T06:38:35.787554Z,0.002406
atvsafety.gov,atvsafety.gov,False,,2018-04-28T06:38:35.583526Z,2018-04-28T06:38:35.58693Z,0.003404
aviationweather.gov,aviationweather.gov,True,,2018-04-28T06:38:35.605693Z,2018-04-28T06:38:35.610466Z,0.004773
ayudaconmibanco.gov,ayudaconmibanco.gov,True,,2018-04-28T06:38:35.885475Z,2018-04-28T06:38:35.885603Z,0.000128
bam.gov,bam.gov,False,,2018-04-28T06:38:35.699422Z,2018-04-28T06:38:35.699554Z,0.000132
bankanswers.gov,bankanswers.gov,True,,2018-04-28T06:38:35.887991Z,2018-04-28T06:38:35.890402Z,0.002411
bankcustomer.gov,bankcustomer.gov,True,,2018-04-28T06:38:35.886062Z,2018-04-28T06:38:35.886194Z,0.000132
bankcustomerassistance.gov,bankcustomerassistance.gov,True,,2018-04-28T06:38:35.888205Z,2018-04-28T06:38:35.890992Z,0.002787
bankhelp.gov,bankhelp.gov,True,,2018-04-28T06:38:35.886575Z,2018-04-28T06:38:35.888498Z,0.001923
banknet.gov,banknet.gov,True,,2018-04-28T06:38:35.88863Z,2018-04-28T06:38:35.888746Z,0.000116
bankruptcy.gov,bankruptcy.gov,False,,2018-04-28T06:38:36.197979Z,2018-04-28T06:38:36.202749Z,0.004770
bats.gov,bats.gov,False,,2018-04-28T06:38:35.783192Z,2018-04-28T06:38:35.78529Z,0.002098
bbg.gov,bbg.gov,True,,2018-04-28T06:38:35.568802Z,2018-04-28T06:38:35.573212Z,0.004410
bcfp.gov,bcfp.gov,False,,2018-04-28T06:38:35.577846Z,2018-04-28T06:38:35.580733Z,0.002887
bea.gov,bea.gov,True,,2018-04-28T06:38:35.606328Z,2018-04-28T06:38:35.606755Z,0.000427
bebest.gov,bebest.gov,False,,2018-04-28T06:38:35.973769Z,2018-04-28T06:38:35.973922Z,0.000153
befoodsafe.gov,befoodsafe.gov,False,,2018-04-28T06:38:36.154972Z,2018-04-28T06:38:36.157554Z,0.002582
benefits.gov,benefits.gov,True,,2018-04-28T06:38:35.822056Z,2018-04-28T06:38:35.824903Z,0.002847
bep.gov,bep.gov,True,,2018-04-28T06:38:35.887693Z,2018-04-28T06:38:35.889768Z,0.002075
betobaccofree.gov,betobaccofree.gov,False,,2018-04-28T06:38:35.699688Z,2018-04-28T06:38:35.701186Z,0.001498
bfem.gov,bfem.gov,False,,2018-04-28T06:38:35.888102Z,2018-04-28T06:38:35.89078Z,0.002678
bia.gov,bia.gov,True,,2018-04-28T06:38:35.844785Z,2018-04-28T06:38:35.844901Z,0.000116
bioethics.gov,bioethics.gov,False,,2018-04-28T06:38:35.699991Z,2018-04-28T06:38:35.704616Z,0.004625
biomassboard.gov,biomassboard.gov,True,,2018-04-28T06:38:35.661692Z,2018-04-28T06:38:35.661831Z,0.000139
biometriccoe.gov,biometriccoe.gov,False,,2018-04-28T06:38:35.784647Z,2018-04-28T06:38:35.788784Z,0.004137
biometrics.gov,biometrics.gov,False,,2018-04-28T06:38:35.757563Z,2018-04-28T06:38:35.757695Z,0.000132
biopreferred.gov,biopreferred.gov,True,,2018-04-28T06:38:36.155083Z,2018-04-28T06:38:36.157771Z,0.002688
bja.gov,bja.gov,True,,2018-04-28T06:38:35.784941Z,2018-04-28T06:38:35.786975Z,0.002034
bjs.gov,bjs.gov,True,,2018-04-28T06:38:35.785422Z,2018-04-28T06:38:35.785536Z,0.000114
bldrdoc.gov,bldrdoc.gov,False,,2018-04-28T06:38:35.608434Z,2018-04-28T06:38:35.611251Z,0.002817
blm.gov,blm.gov,False,,2018-04-28T06:38:35.848817Z,2018-04-28T06:38:35.849987Z,0.001170
bls.gov,bls.gov,True,,2018-04-28T06:38:35.822402Z,2018-04-28T06:38:35.822522Z,0.000120
bnl.gov,bnl.gov,False,,2018-04-28T06:38:35.664349Z,2018-04-28T06:38:35.666024Z,0.001675
boem.gov,boem.gov,True,,2018-04-28T06:38:35.849144Z,2018-04-28T06:38:35.853559Z,0.004415
boemre.gov,boemre.gov,False,,2018-04-28T06:38:35.849249Z,2018-04-28T06:38:35.850463Z,0.001214
bondpro.gov,bondpro.gov,True,,2018-04-28T06:38:35.888329Z,2018-04-28T06:38:35.891192Z,0.002863
bop.gov,bop.gov,True,,2018-04-28T06:38:35.787729Z,2018-04-28T06:38:35.787862Z,0.000133
bor.gov,bor.gov,False,,2018-04-28T06:38:35.849352Z,2018-04-28T06:38:35.850664Z,0.001312
