Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
18f.gsa.gov,gsa.gov,https://18f.gsa.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,True,True,True,False
2009-2017-fpc.state.gov,state.gov,https://2009-2017-fpc.state.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,True,True,True
2009-2017.pepfar.gov,pepfar.gov,https://2009-2017.pepfar.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,True,True,True
2009-2017.state.gov,state.gov,https://2009-2017.state.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,True,True,True
2010-2014.commerce.gov,commerce.gov,http://2010-2014.commerce.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
2016.export.gov,export.gov,http://2016.export.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
20watersheds.epa.gov,epa.gov,https://20watersheds.epa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,True,True,True
2ua2070z6n.usa.dce.usps.gov,usps.gov,http://2ua2070z6n.usa.dce.usps.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
360.cpsc.gov,cpsc.gov,http://360.cpsc.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
3dparks.wr.usgs.gov,usgs.gov,https://3dparks.wr.usgs.gov,True,False,,True,True,False,True,False,False,False,True,max-age=3600; includeSubDomains;,3600,True,False,False,False,True,True,False
5gmm.nist.gov,nist.gov,http://5gmm.nist.gov,True,False,,False,False,False,False,True,False,False,False,,,False,False,False,False,True,False,False
7-seas.gsfc.nasa.gov,nasa.gov,http://7-seas.gsfc.nasa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
72a.gsa.gov,gsa.gov,https://72a.gsa.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
a-app-l-seind01.nsf.gov,nsf.gov,http://a-app-l-seind01.nsf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
a-web-s-wwwtst1.nsf.gov,nsf.gov,http://a-web-s-wwwtst1.nsf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
a130.cio.gov,cio.gov,http://a130.cio.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,True,False,True
a2g5wps01.dectest.ed.gov,ed.gov,http://a2g5wps01.dectest.ed.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
aab.larc.nasa.gov,nasa.gov,https://aab.larc.nasa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
aawu.arh.noaa.gov,noaa.gov,http://aawu.arh.noaa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
abfm-dev.ksc.nasa.gov,nasa.gov,http://abfm-dev.ksc.nasa.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
abfm.ksc.nasa.gov,nasa.gov,https://abfm.ksc.nasa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,True,True
above-dev.gsfc.nasa.gov,nasa.gov,http://above-dev.gsfc.nasa.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
above.nasa.gov,nasa.gov,http://above.nasa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
abp-t.cr.usgs.gov,usgs.gov,http://abp-t.cr.usgs.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
abp.cr.usgs.gov,usgs.gov,https://abp.cr.usgs.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
abudhabi.usembassy.gov,usembassy.gov,https://abudhabi.usembassy.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,True,True,True
acc.fiscal.treasury.gov,treasury.gov,http://acc.fiscal.treasury.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
access.afsc.noaa.gov,noaa.gov,http://access.afsc.noaa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
access.co-ops.nos.noaa.gov,noaa.gov,http://access.co-ops.nos.noaa.gov,True,True,,False,False,False,False,True,False,False,False,,,False,False,False,False,True,False,False
access.trade.gov,trade.gov,https://access.trade.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
accessdata.dev.fda.gov,fda.gov,http://accessdata.dev.fda.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
accessdata.fda.gov,fda.gov,http://www.accessdata.fda.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
accessdata.fda.gov.ezproxy.nihlibrary.nih.gov,nih.gov,http://accessdata.fda.gov.ezproxy.nihlibrary.nih.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
accessgudid.nlm.nih.gov,nih.gov,https://accessgudid.nlm.nih.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
account.uspto.gov,uspto.gov,https://account.uspto.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
accountadmin.uspto.gov,uspto.gov,http://accountadmin.uspto.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
accweb.gsfc.nasa.gov,nasa.gov,https://accweb.gsfc.nasa.gov,True,False,,False,True,False,True,False,False,False,True,max-age=31536000; includeSubdomains;,31536000,True,False,False,False,False,False,True
acemission.gsfc.nasa.gov,nasa.gov,https://acemission.gsfc.nasa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
acetool.commerce.gov,commerce.gov,http://acetool.commerce.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
acf.hhs.gov,hhs.gov,https://www.acf.hhs.gov,True,False,,False,True,False,True,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,True,True,True
acpt.nsf.gov,nsf.gov,http://acpt.nsf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
acquia-dev-bts.dot.gov,dot.gov,http://acquia-dev-bts.dot.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
acquia-stage-bts.dot.gov,dot.gov,http://acquia-stage-bts.dot.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
acquia-stage.fmcsa.dot.gov,dot.gov,http://acquia-stage.fmcsa.dot.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
acquia-test-bts.dot.gov,dot.gov,http://acquia-test-bts.dot.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
acquia-test.dot.gov,dot.gov,http://acquia-test.dot.gov,True,True,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
acquia-test.fmcsa.dot.gov,dot.gov,http://acquia-test.fmcsa.dot.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
acquia-test.fta.dot.gov,dot.gov,http://acquia-test.fta.dot.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
acquia-test.permits.performance.gov,performance.gov,http://acquia-test.permits.performance.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
acquia-test.sustainablecommunities.gov,sustainablecommunities.gov,http://acquia-test.sustainablecommunities.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
acquia-test.volpe.dot.gov,dot.gov,http://acquia-test.volpe.dot.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
acquisition-uat.gsa.gov,gsa.gov,http://acquisition-uat.gsa.gov,True,True,,False,False,False,True,True,True,False,False,,,False,False,False,False,False,False,False
acquisitionacademy.va.gov,va.gov,http://www.acquisitionacademy.va.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
actuary.defense.gov,defense.gov,http://actuary.defense.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
ad.hq.nasa.gov,nasa.gov,http://ad.hq.nasa.gov,True,False,,False,False,False,False,True,True,False,False,,,False,False,False,False,False,False,False
adams.nrc.gov,nrc.gov,http://adams.nrc.gov,True,True,,False,False,False,False,True,False,False,False,,,False,False,False,False,True,False,False
adamswebsearch2.nrc.gov,nrc.gov,https://adamswebsearch2.nrc.gov,True,False,,False,True,False,True,True,False,False,False,,,False,False,False,False,True,True,False
addiction.surgeongeneral.gov,surgeongeneral.gov,https://addiction.surgeongeneral.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,True,True
admin-syst.myhealth.va.gov,va.gov,http://admin-syst.myhealth.va.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
admin.coastalscience.noaa.gov,noaa.gov,https://admin.coastalscience.noaa.gov,True,False,,True,True,True,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,False,True
admin.eca.dev.state.gov,state.gov,http://admin.eca.dev.state.gov,True,True,,False,False,False,False,True,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,False,True
admin.eca.state.gov,state.gov,https://admin.eca.state.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,True,True
admin.eca.test.state.gov,state.gov,http://admin.eca.test.state.gov,True,True,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,False,True
admin.globalchange.gov,globalchange.gov,http://admin.globalchange.gov,True,False,,False,False,True,False,True,False,True,False,,,False,False,False,False,False,False,False
admin.hmspermits.noaa.gov,noaa.gov,https://admin.hmspermits.noaa.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
admin.myhealth.va.gov,va.gov,http://admin.myhealth.va.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
admin.science.nasa.gov,nasa.gov,http://admin.science.nasa.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
admiral.nist.gov,nist.gov,http://admiral.nist.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
adsorbents.nist.gov,nist.gov,http://adsorbents.nist.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
adt.larc.nasa.gov,nasa.gov,https://adt.larc.nasa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
advisethepresident.archives.gov,archives.gov,https://www.advisethepresident.archives.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000;,31536000,False,False,False,False,True,True,True
advocacysba.sites.usa.gov,usa.gov,https://advocacysba.sites.usa.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000;,31536000,False,False,False,False,True,True,True
