Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,Broken Root,Broken WWW
18f.gov,http://www.18f.gov,True,True,https://18f.gsa.gov/,True,False,False,True,False,False,True,max-age=31536000,31536000,False,False,False,False
404.gov,http://404.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
9-11commission.gov,http://9-11commission.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
911.gov,http://911.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
911commission.gov,http://911commission.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
aapi.gov,http://www.aapi.gov,True,True,https://www.whitehouse.gov/aapi,False,False,False,False,False,False,False,,,False,False,False,False
abandonedmines.gov,http://www.abandonedmines.gov,True,False,,True,False,False,False,False,False,False,,,False,False,True,False
abilityone.fed.us,http://abilityone.fed.us,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
abilityone.gov,http://abilityone.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
abmc.gov,http://abmc.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
access-board-members.gov,http://access-board-members.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
access-board.gov,http://www.access-board.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
acf.gov,http://www.acf.gov,True,True,http://www.acf.hhs.gov/,False,False,False,False,False,True,False,,,False,False,False,False
achp.gov,http://achp.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
acl.gov,http://acl.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
acquisition.gov,https://www.acquisition.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,False
acus.gov,https://www.acus.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False
acwi.gov,http://acwi.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
ada.gov,http://www.ada.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
adf.gov,http://adf.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
adlnet.gov,http://adlnet.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
admongo.gov,http://www.admongo.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
adr.gov,http://www.adr.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
advantage.gov,http://www.advantage.gov,True,False,,False,False,False,True,False,True,False,,,False,False,True,False
afadvantage.gov,https://afadvantage.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
aff.gov,http://www.aff.gov,True,False,,True,False,False,False,False,False,False,,,False,False,True,False
afrh.gov,https://www.afrh.gov,True,False,,False,True,False,True,True,False,False,,,False,False,True,False
africanamericanhistorymonth.gov,http://africanamericanhistorymonth.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
aftac.gov,http://aftac.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
afterschool.gov,http://www.afterschool.gov,True,True,http://youth.gov/,False,False,False,False,False,False,False,,,False,False,True,False
ag.gov,http://ag.gov,False,False,,False,False,False,False,False,False,False,,,False,False,True,True
agingstats.gov,http://www.agingstats.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
ahcpr.gov,http://www.ahcpr.gov,True,True,http://www.ahrq.gov/,False,False,False,False,False,True,False,,,False,False,False,False
ahrq.gov,http://www.ahrq.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
aids.gov,https://aids.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False
airnow.gov,http://airnow.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False
alaskacenters.gov,http://alaskacenters.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
alertaenlinea.gov,http://www.alertaenlinea.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False
altusandc.gov,http://www.altusandc.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
alzheimers.gov,http://alzheimers.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
ama.gov,https://www.ama.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False
amberalert.gov,http://amberalert.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
america.gov,http://www.america.gov,True,True,http://iipdigital.usembassy.gov/,False,False,False,False,True,True,False,,,False,False,False,False
americanjobcenter.gov,http://www.americanjobcenter.gov,True,True,http://jobcenter.usa.gov/,False,False,False,False,False,False,False,,,False,False,False,False
americanlatinomuseum.gov,http://americanlatinomuseum.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False
americanmemory.gov,http://www.americanmemory.gov,True,True,http://www.loc.gov/,False,False,False,False,False,True,False,,,False,False,False,False
americasgreatoutdoors.gov,http://www.americasgreatoutdoors.gov,True,True,http://www.doi.gov/americasgreatoutdoors/index.cfm,False,False,False,False,False,False,False,,,False,False,False,False
americasheroesatwork.gov,http://www.americasheroesatwork.gov,True,True,http://www.dol.gov/vets/ahaw/,False,False,False,False,False,True,False,,,False,False,False,False
americaslibrary.gov,http://www.americaslibrary.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False
americasstory.gov,http://www.americasstory.gov,True,True,http://www.americaslibrary.gov/,False,False,False,False,False,False,False,,,False,False,False,False
americastory.gov,http://www.americastory.gov,True,True,http://www.americaslibrary.gov/,False,False,False,False,False,False,False,,,False,False,False,False
americathebeautifulquarters.gov,http://www.americathebeautifulquarters.gov,True,False,,False,False,False,False,False,True,False,,,False,False,True,False
americore.gov,http://www.americore.gov,True,True,http://www.nationalservice.gov/programs/americorps,False,False,False,False,False,False,False,,,False,False,False,False
