Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preloaded
001host.dns.good.test.dnsops.gov,dnsops.gov,https://001host.dns.good.test.dnsops.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
001.tlsa.good.test.dnsops.gov,dnsops.gov,https://001.tlsa.good.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
000.tlsa.good.test.dnsops.gov,dnsops.gov,https://000.tlsa.good.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
001ee.tlsa.grey.test.dnsops.gov,dnsops.gov,https://001ee.tlsa.grey.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
000key.tlsa.bad.test.dnsops.gov,dnsops.gov,https://000key.tlsa.bad.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
000trunc.tlsa.bad.test.dnsops.gov,dnsops.gov,http://000trunc.tlsa.bad.test.dnsops.gov,True,False,,False,False,False,True,True,True,False,False,,,False,False,False
001int.tlsa.good.test.dnsops.gov,dnsops.gov,http://001int.tlsa.good.test.dnsops.gov,True,False,,False,False,False,True,True,True,False,False,,,False,False,False
000badcu.tlsa.bad.test.dnsops.gov,dnsops.gov,http://000badcu.tlsa.bad.test.dnsops.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False
001key.tlsa.bad.test.dnsops.gov,dnsops.gov,http://001key.tlsa.bad.test.dnsops.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False
000ee.tlsa.grey.test.dnsops.gov,dnsops.gov,https://000ee.tlsa.grey.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
01.inv.itb.fbi.gov,fbi.gov,http://01.inv.itb.fbi.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
001trunc.tlsa.bad.test.dnsops.gov,dnsops.gov,http://001trunc.tlsa.bad.test.dnsops.gov,True,False,,False,False,False,True,True,True,False,False,,,False,False,False
002.tlsa.good.test.dnsops.gov,dnsops.gov,https://002.tlsa.good.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
00unkhash.tlsa.bad.test.dnsops.gov,dnsops.gov,https://00unkhash.tlsa.bad.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
00wronghash.tlsa.bad.test.dnsops.gov,dnsops.gov,https://00wronghash.tlsa.bad.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
011.tlsa.good.test.dnsops.gov,dnsops.gov,https://011.tlsa.good.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
010cert.tlsa.bad.test.dnsops.gov,dnsops.gov,https://010cert.tlsa.bad.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
011cert.tlsa.bad.test.dnsops.gov,dnsops.gov,https://011cert.tlsa.bad.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
010.tlsa.good.test.dnsops.gov,dnsops.gov,https://010.tlsa.good.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
011int.tlsa.good.test.dnsops.gov,dnsops.gov,http://011int.tlsa.good.test.dnsops.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False
0badsel.tlsa.bad.test.dnsops.gov,dnsops.gov,http://0badsel.tlsa.bad.test.dnsops.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False
100.tlsa.good.test.dnsops.gov,dnsops.gov,https://100.tlsa.good.test.dnsops.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
012.tlsa.good.test.dnsops.gov,dnsops.gov,https://012.tlsa.good.test.dnsops.gov,True,False,,False,True,False,True,True,False,False,True,max-age=63072000; includeSubDomains,63072000,True,False,False
