Domain,Details,Entity,Live?,Redirect?,HTTPS?,Force HTTPS?,HSTS?,HSTS Header
baxtermn.gov,City,Non-Federal Agency,true,,false,false,false,
bayside-wi.gov,City,Non-Federal Agency,true,,false,false,false,
baystlouis-ms.gov,City,Non-Federal Agency,true,,false,false,false,
bayvilleny.gov,City,Non-Federal Agency,true,,false,false,false,
beachhaven-nj.gov,City,Non-Federal Agency,true,,false,false,false,
beaumont-ca.gov,City,Non-Federal Agency,true,,false,false,false,
beaumonttexas.gov,City,Non-Federal Agency,true,,false,false,false,
beavercreekohio.gov,City,Non-Federal Agency,true,,false,false,false,
beaverpa.gov,City,Non-Federal Agency,true,beaverpa.us,false,false,false,
beavertonoregon.gov,City,Non-Federal Agency,true,,false,false,false,
beavertwp-oh.gov,City,Non-Federal Agency,true,,false,false,false,
bedfordheights.gov,City,Non-Federal Agency,true,,false,false,false,
bedfordma.gov,City,Non-Federal Agency,true,,false,false,false,
bedfordny.gov,City,Non-Federal Agency,true,,false,false,false,
bedfordoh.gov,City,Non-Federal Agency,true,,false,false,false,
bedfordtx.gov,City,Non-Federal Agency,true,,false,false,false,
bedfordva.gov,City,Non-Federal Agency,true,,false,false,false,
beecavetexas.gov,City,Non-Federal Agency,true,,false,false,false,
belaireks.gov,City,Non-Federal Agency,true,,false,false,false,
belen-nm.gov,City,Non-Federal Agency,true,,false,false,false,
belleairbluffs-fl.gov,City,Non-Federal Agency,true,,false,false,false,
bellemeade-ky.gov,City,Non-Federal Agency,true,,false,false,false,
bellevueia.gov,City,Non-Federal Agency,true,,false,false,false,
bellevuewa.gov,City,Non-Federal Agency,true,,true,false,false,
belmont-ma.gov,City,Non-Federal Agency,true,,false,false,false,
beloitwi.gov,City,Non-Federal Agency,true,,false,false,false,
beltonparksmo.gov,City,Non-Federal Agency,false,,false,false,false,
beltontexas.gov,City,Non-Federal Agency,true,,false,false,false,
bendoregon.gov,City,Non-Federal Agency,true,,false,false,false,
bensalempa.gov,City,Non-Federal Agency,true,,false,false,false,
bensonaz.gov,City,Non-Federal Agency,false,,false,false,false,
bentonchartertownship-mi.gov,City,Non-Federal Agency,true,,true,false,false,
bereaky.gov,City,Non-Federal Agency,true,,false,false,false,
berlinmd.gov,City,Non-Federal Agency,true,,false,false,false,
berlinnh.gov,City,Non-Federal Agency,true,,false,false,false,
bernco.gov,City,Non-Federal Agency,true,,true,false,false,
berwyn-il.gov,City,Non-Federal Agency,true,,false,false,false,
bethanybeach-de.gov,City,Non-Federal Agency,true,,false,false,false,
bethel-ct.gov,City,Non-Federal Agency,true,,false,false,false,
bethel-oh.gov,City,Non-Federal Agency,true,,false,false,false,
beverlyhills-ca.gov,City,Non-Federal Agency,true,,false,false,false,
beverlyhillsca.gov,City,Non-Federal Agency,true,,false,false,false,
beverlyma.gov,City,Non-Federal Agency,true,,false,false,false,
biggs-ca.gov,City,Non-Federal Agency,true,,false,false,false,
bigsandytx.gov,City,Non-Federal Agency,true,,false,false,false,
binghamton-ny.gov,City,Non-Federal Agency,true,,false,false,false,
birminghamal.gov,City,Non-Federal Agency,true,,false,false,false,
biscayneparkfl.gov,City,Non-Federal Agency,true,,false,false,false,
bismarcknd.gov,City,Non-Federal Agency,true,,false,false,false,
bixbyok.gov,City,Non-Federal Agency,true,,false,false,false,
blairsville-ga.gov,City,Non-Federal Agency,true,,false,false,false,
blanding-ut.gov,City,Non-Federal Agency,true,,false,false,false,
blendontownship-mi.gov,City,Non-Federal Agency,true,,false,false,false,
bloomingdale-ga.gov,City,Non-Federal Agency,true,www.bloomingdale-ga.com,false,false,false,
bloomington-mn.gov,City,Non-Federal Agency,true,ci.bloomington.mn.us,false,false,false,
blueash-oh.gov,City,Non-Federal Agency,true,,false,false,false,
bocaraton-fl.gov,City,Non-Federal Agency,true,,false,false,false,
boerne-tx.gov,City,Non-Federal Agency,true,,false,false,false,
boiseidaho.gov,City,Non-Federal Agency,true,,false,false,false,
bolton-ma.gov,City,Non-Federal Agency,false,,false,false,false,
bonneytexas.gov,City,Non-Federal Agency,true,,false,false,false,
