Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preloaded
18f.gov,18f.gov,https://www.18f.gov,True,True,https://18f.gsa.gov/,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,True
2020census.gov,2020census.gov,http://2020census.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
9-11commission.gov,9-11commission.gov,https://9-11commission.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False
911.gov,911.gov,https://www.911.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
911commission.gov,911commission.gov,https://911commission.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False
aapi.gov,aapi.gov,http://www.aapi.gov,True,True,https://www.whitehouse.gov/aapi,False,False,False,False,False,False,False,False,,,False,False,False
abandonedmines.gov,abandonedmines.gov,http://www.abandonedmines.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False
abilityone.fed.us,fed.us,http://abilityone.fed.us,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
abilityone.gov,abilityone.gov,http://abilityone.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
abmc.gov,abmc.gov,https://abmc.gov,True,False,,True,True,False,True,False,False,False,True,max-age=1000,1000,False,False,False
access-board.gov,access-board.gov,https://www.access-board.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
acf.gov,acf.gov,http://www.acf.gov,True,True,http://www.acf.hhs.gov/,False,False,False,False,False,True,False,False,,,False,False,False
achp.gov,achp.gov,http://achp.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
acl.gov,acl.gov,https://acl.gov,True,False,,True,True,False,False,False,False,False,False,,,False,False,False
acquisition.gov,acquisition.gov,https://www.acquisition.gov,True,False,,False,True,False,True,True,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,False,False,False
