Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
hcupnet.ahrq.gov,ahrq.gov,https://hcupnet.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
tucson.ars.ag.gov,ag.gov,http://tucson.ars.ag.gov,True,True,https://www.ars.usda.gov/pacific-west-area/tucson-az/southwest-watershed-research,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
hcup.ahrq.gov,ahrq.gov,http://hcup.ahrq.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
m.innovations.ahrq.gov,ahrq.gov,http://m.innovations.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
innovations.ahrq.gov,ahrq.gov,https://innovations.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
integrationacademy.ahrq.gov,ahrq.gov,http://integrationacademy.ahrq.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
massevacmodel.ahrq.gov,ahrq.gov,http://massevacmodel.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
info.ahrq.gov,ahrq.gov,https://info.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
healthit.ahrq.gov,ahrq.gov,https://healthit.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
nhdrnet.ahrq.gov,ahrq.gov,http://nhdrnet.ahrq.gov,True,False,,False,False,False,False,True,True,False,False,,,False,False,False,False,False,False,False
nhqrnet.ahrq.gov,ahrq.gov,https://nhqrnet.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
monahrq.ahrq.gov,ahrq.gov,http://www.monahrq.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
patientregistry.ahrq.gov,ahrq.gov,https://patientregistry.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
pcmh.ahrq.gov,ahrq.gov,https://pcmh.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
meps.ahrq.gov,ahrq.gov,https://meps.ahrq.gov,True,False,,False,True,False,False,True,False,False,False,,,False,False,False,False,True,True,False
pda.ahrq.gov,ahrq.gov,http://pda.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
pbrn.ahrq.gov,ahrq.gov,https://pbrn.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
pharmacyhealthliteracy.ahrq.gov,ahrq.gov,http://pharmacyhealthliteracy.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
qualityindicators.ahrq.gov,ahrq.gov,http://qualityindicators.ahrq.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
preventiveservices.ahrq.gov,ahrq.gov,http://www.preventiveservices.ahrq.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
pso.ahrq.gov,ahrq.gov,https://pso.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
sdc.ahrq.gov,ahrq.gov,http://sdc.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
psnet.ahrq.gov,ahrq.gov,https://psnet.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
qualitymeasures.ahrq.gov,ahrq.gov,https://qualitymeasures.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,True,True
sdc2.ahrq.gov,ahrq.gov,http://sdc2.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
statesnapshots.ahrq.gov,ahrq.gov,https://statesnapshots.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
search.ahrq.gov,ahrq.gov,http://search.ahrq.gov,True,False,,False,False,False,False,True,False,False,False,,,False,False,False,False,True,False,False
subscriptions.ahrq.gov,ahrq.gov,https://subscriptions.ahrq.gov,True,False,,True,True,True,True,False,False,False,False,,,False,False,False,False,False,False,False
healthit.portaldev.ahrq.gov,ahrq.gov,http://healthit.portaldev.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
talkingquality.ahrq.gov,ahrq.gov,http://www.talkingquality.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
ushik.ahrq.gov,ahrq.gov,https://ushik.ahrq.gov,True,False,,True,True,True,True,False,False,False,False,,,False,False,False,False,False,False,False
teamstepps.ahrq.gov,ahrq.gov,http://www.teamstepps.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
srdr.ahrq.gov,ahrq.gov,http://srdr.ahrq.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
facing.aids.gov,aids.gov,http://facing.aids.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
m.aids.gov,aids.gov,http://m.aids.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
webmm.ahrq.gov,ahrq.gov,https://webmm.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
providertools.aids.gov,aids.gov,http://providertools.aids.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
locator.aids.gov,aids.gov,https://locator.aids.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,True,True,True
democracyphotochallenge.america.gov,america.gov,http://democracyphotochallenge.america.gov,True,False,,False,False,False,False,True,True,False,False,,,False,False,False,False,False,False,False
blogs.america.gov,america.gov,https://blogs.america.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,True,True,True
photos.america.gov,america.gov,http://photos.america.gov,True,True,http://iipdigital.usembassy.gov/english/photos/,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
search.aids.gov,aids.gov,http://search.aids.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,False,True,False,True
blog.aids.gov,aids.gov,https://blog.aids.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,True,True,True
videochallenge.america.gov,america.gov,http://videochallenge.america.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
utils.america.gov,america.gov,https://utils.america.gov,True,False,,True,True,False,True,False,False,False,True,max-age=86400,86400,False,False,False,False,True,True,False
my.americorps.gov,americorps.gov,https://my.americorps.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
ncccblog.americorps.gov,americorps.gov,http://ncccblog.americorps.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
static.americasheroesatwork.gov,americasheroesatwork.gov,http://static.americasheroesatwork.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
cmp.ameslab.gov,ameslab.gov,http://cmp.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
cmpweb.ameslab.gov,ameslab.gov,http://cmpweb.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
cmpgroup.ameslab.gov,ameslab.gov,http://cmpgroup.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
cybercrypt-ss.ameslab.gov,ameslab.gov,http://cybercrypt-ss.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
dmse.ameslab.gov,ameslab.gov,http://dmse.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
external.ameslab.gov,ameslab.gov,http://www.external.ameslab.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
internal.ameslab.gov,ameslab.gov,http://internal.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
mcbmm.ameslab.gov,ameslab.gov,http://mcbmm.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
metcer.ameslab.gov,ameslab.gov,http://www.metcer.ameslab.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
mfrc.ameslab.gov,ameslab.gov,https://mfrc.ameslab.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
mpc.ameslab.gov,ameslab.gov,https://www.mpc.ameslab.gov,True,False,,False,True,False,True,False,True,False,False,,,False,False,False,False,False,False,False
msg.ameslab.gov,ameslab.gov,http://www.msg.ameslab.gov,True,False,,False,False,False,False,True,True,False,False,,,False,False,False,False,False,False,False
sdc.america.gov,america.gov,http://sdc.america.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
sc94.ameslab.gov,ameslab.gov,http://sc94.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
scl.ameslab.gov,ameslab.gov,http://scl.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
webmail.scl.ameslab.gov,ameslab.gov,http://webmail.scl.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
archive.healthit.ahrq.gov,ahrq.gov,http://archive.healthit.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
images.ahrq.gov,ahrq.gov,http://images.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
1813.anl.gov,anl.gov,http://1813.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
list.ahrq.gov,ahrq.gov,http://list.ahrq.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
al-iproxy.ameslab.gov,ameslab.gov,http://al-iproxy.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
agent2007.anl.gov,anl.gov,http://agent2007.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
aiwrm.anl.gov,anl.gov,http://aiwrm.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
icq9.ameslab.gov,ameslab.gov,http://www.icq9.ameslab.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
matchem.ameslab.gov,ameslab.gov,http://www.matchem.ameslab.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
delsys.ahrq.gov,ahrq.gov,http://delsys.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
reflec.ameslab.gov,ameslab.gov,http://www.reflec.ameslab.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
magellan.alcf.anl.gov,anl.gov,http://magellan.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
training.ameslab.gov,ameslab.gov,http://training.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
webmail.ameslab.gov,ameslab.gov,http://webmail.ameslab.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
aai.anl.gov,anl.gov,http://aai.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
portal.pbrn.ahrq.gov,ahrq.gov,http://portal.pbrn.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
alcf.anl.gov,anl.gov,http://www.alcf.anl.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
accounts.alcf.anl.gov,anl.gov,http://accounts.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
wiki-old.alcf.anl.gov,anl.gov,http://wiki-old.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
lists.alcf.anl.gov,anl.gov,http://lists.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
papka.alcf.anl.gov,anl.gov,http://papka.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
status.alcf.anl.gov,anl.gov,http://status.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
antigens.anl.gov,anl.gov,http://antigens.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
svn.alcf.anl.gov,anl.gov,http://svn.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
trac.alcf.anl.gov,anl.gov,http://trac.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
abr.anl.gov,anl.gov,http://abr.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
wiki.alcf.anl.gov,anl.gov,http://wiki.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
wiki-internal.alcf.anl.gov,anl.gov,http://wiki-internal.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
esp.alcf.anl.gov,anl.gov,http://esp.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
workshops.alcf.anl.gov,anl.gov,http://workshops.alcf.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
calypso.aps.anl.gov,anl.gov,http://calypso.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
webcam1.cars.aps.anl.gov,anl.gov,http://webcam1.cars.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
webcam15.cars.aps.anl.gov,anl.gov,http://webcam15.cars.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
webcam2.cars.aps.anl.gov,anl.gov,http://webcam2.cars.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
amc.anl.gov,anl.gov,http://amc.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
css.aps.anl.gov,anl.gov,http://css.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
tpm.amc.anl.gov,anl.gov,http://tpm.amc.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
bdl.aps.anl.gov,anl.gov,http://bdl.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
beam.aps.anl.gov,anl.gov,http://beam.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
bio.aps.anl.gov,anl.gov,http://bio.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
pinky.bio.aps.anl.gov,anl.gov,http://pinky.bio.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
blocked.aps.anl.gov,anl.gov,http://blocked.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
centraldocs.aps.anl.gov,anl.gov,http://centraldocs.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
confluence.aps.anl.gov,anl.gov,http://confluence.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
hpcam2.hpcat.aps.anl.gov,anl.gov,http://hpcam2.hpcat.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
dnd.aps.anl.gov,anl.gov,http://dnd.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
tomato.dnd.aps.anl.gov,anl.gov,http://tomato.dnd.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
aps.anl.gov,anl.gov,http://aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
gmca.aps.anl.gov,anl.gov,http://gmca.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
sergey.gmca.aps.anl.gov,anl.gov,http://sergey.gmca.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
x-server.gmca.aps.anl.gov,anl.gov,http://x-server.gmca.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
hpcam1.hpcat.aps.anl.gov,anl.gov,http://hpcam1.hpcat.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
hpcam3.hpcat.aps.anl.gov,anl.gov,http://hpcam3.hpcat.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
hpcam5.hpcat.aps.anl.gov,anl.gov,http://hpcam5.hpcat.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
mail.hpcat.aps.anl.gov,anl.gov,http://mail.hpcat.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
imca.aps.anl.gov,anl.gov,http://imca.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
jira.aps.anl.gov,anl.gov,http://jira.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
mailman.aps.anl.gov,anl.gov,http://mailman.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
wiki.mr.aps.anl.gov,anl.gov,http://wiki.mr.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
hpcat.aps.anl.gov,anl.gov,http://hpcat.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
lilith.nec.aps.anl.gov,anl.gov,http://lilith.nec.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
pac2001.aps.anl.gov,anl.gov,http://pac2001.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
prfsnr.aps.anl.gov,anl.gov,http://prfsnr.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
schedule.aps.anl.gov,anl.gov,http://schedule.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
ser.aps.anl.gov,anl.gov,http://ser.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
bmc89.ser.aps.anl.gov,anl.gov,http://bmc89.ser.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
lcls.aps.anl.gov,anl.gov,http://lcls.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
idc14.ser.aps.anl.gov,anl.gov,http://idc14.ser.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
idc19.ser.aps.anl.gov,anl.gov,http://idc19.ser.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
xor.aps.anl.gov,anl.gov,http://xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
idc20.ser.aps.anl.gov,anl.gov,http://idc20.ser.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
11bm.xor.aps.anl.gov,anl.gov,http://11bm.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
2bm.xor.aps.anl.gov,anl.gov,http://2bm.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
8id.xor.aps.anl.gov,anl.gov,http://8id.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
2idb.xor.aps.anl.gov,anl.gov,http://2idb.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
bcda.xor.aps.anl.gov,anl.gov,http://bcda.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
calliope.xor.aps.anl.gov,anl.gov,http://calliope.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
clio.xor.aps.anl.gov,anl.gov,http://clio.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
melpomene.xor.aps.anl.gov,anl.gov,http://melpomene.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
sector7.xor.aps.anl.gov,anl.gov,http://sector7.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
sector9.xor.aps.anl.gov,anl.gov,http://sector9.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
usaxs.xor.aps.anl.gov,anl.gov,http://usaxs.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
ww2.xor.aps.anl.gov,anl.gov,http://ww2.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
xmg.xor.aps.anl.gov,anl.gov,http://xmg.xor.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
idc26.ser.aps.anl.gov,anl.gov,http://idc26.ser.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
small-angle.aps.anl.gov,anl.gov,http://small-angle.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
sri2010.aps.anl.gov,anl.gov,http://sri2010.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
status.aps.anl.gov,anl.gov,http://status.aps.anl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
