Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
olderamericansmonth.acl.gov,acl.gov,http://olderamericansmonth.acl.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
3dr.adlnet.gov,adlnet.gov,http://3dr.adlnet.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
resourcecenter.911.gov,911.gov,https://resourcecenter.911.gov,True,False,,True,True,False,True,False,False,False,True,max-age=3600,3600,False,False,False,False,True,True,False
research.adlnet.gov,adlnet.gov,http://research.adlnet.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
adrc-tae.acl.gov,acl.gov,https://www.adrc-tae.acl.gov,True,False,,False,True,False,True,False,False,False,False,,,False,False,False,False,False,False,False
tincan.adlnet.gov,adlnet.gov,http://tincan.adlnet.gov,True,False,,False,False,False,False,True,True,True,False,,,False,False,False,False,False,False,False
gears.tucson.ars.ag.gov,ag.gov,http://gears.tucson.ars.ag.gov,True,True,https://www.ars.usda.gov/pacific-west-area/tucson-az/honey-bee-research,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
ahrqasprod2.ahrq.gov,ahrq.gov,http://ahrqasprod2.ahrq.gov,True,False,,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False
ahrqpubs.ahrq.gov,ahrq.gov,https://ahrqpubs.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,True,True,True
archive.ahrq.gov,ahrq.gov,https://archive.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
cahps.ahrq.gov,ahrq.gov,http://www.cahps.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
cpsi.ahrq.gov,ahrq.gov,http://cpsi.ahrq.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False,False,False,False,False
cts.access-board.gov,access-board.gov,http://cts.access-board.gov,True,True,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
pl.abilityone.gov,abilityone.gov,http://pl.abilityone.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
plimsvote.abilityone.gov,abilityone.gov,http://plimsvote.abilityone.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
mlhandbook.adlnet.gov,adlnet.gov,http://mlhandbook.adlnet.gov,True,True,https://sites.google.com/a/adlnet.gov/mobile-learning-guide/home/,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
ml.adlnet.gov,adlnet.gov,http://ml.adlnet.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
effectivehealthcare.ahrq.gov,ahrq.gov,http://effectivehealthcare.ahrq.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
epss.ahrq.gov,ahrq.gov,http://epss.ahrq.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
ftp.ahrq.gov,ahrq.gov,http://ftp.ahrq.gov,True,True,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False
ce.effectivehealthcare.ahrq.gov,ahrq.gov,https://ce.effectivehealthcare.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,True,True,False
mlearn.adlnet.gov,adlnet.gov,http://www.mlearn.adlnet.gov,True,False,,False,False,False,False,True,True,True,False,,,False,False,False,False,False,False,False
faqtac.ahrq.gov,ahrq.gov,https://faqtac.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,True,True,True
gold.ahrq.gov,ahrq.gov,https://gold.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,True,True,True
tip.adlnet.gov,adlnet.gov,http://tip.adlnet.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
xapi.adlnet.gov,adlnet.gov,http://xapi.adlnet.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
hospitalsurgemodel.ahrq.gov,ahrq.gov,http://hospitalsurgemodel.ahrq.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False
healthcare411.ahrq.gov,ahrq.gov,http://www.healthcare411.ahrq.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,True,False,False
hcup-us.ahrq.gov,ahrq.gov,https://hcup-us.ahrq.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubdomains;,31536000,True,False,False,False,True,True,True
