Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preloaded
1.usa.gov,usa.gov,http://www.1.usa.gov,True,False,,False,False,True,False,False,True,False,False,,,False,False,False
1010ez.med.va.gov,va.gov,http://www.1010ez.med.va.gov,True,True,https://www.vets.gov/healthcare/apply/,False,False,False,True,True,False,False,False,,,False,False,False
1861.history.state.gov,state.gov,https://1861.history.state.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31557600; includeSubdomains,31557600,True,False,False
18f-pages-router.app.cloud.gov,cloud.gov,https://www.18f-pages-router.app.cloud.gov,True,False,,False,True,False,True,False,True,False,False,,,False,False,False
18f.gsa.gov,gsa.gov,https://18f.gsa.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,True
2010-2014.commerce.gov,commerce.gov,http://2010-2014.commerce.gov,True,False,,True,False,True,False,False,False,False,False,,,False,False,False
2016.export.gov,export.gov,http://2016.export.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
360.cpsc.gov,cpsc.gov,http://360.cpsc.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
3dparks.wr.usgs.gov,usgs.gov,https://3dparks.wr.usgs.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
5gmm.nist.gov,nist.gov,http://5gmm.nist.gov,True,False,,False,False,False,False,True,False,False,False,,,False,False,False
7-seas.gsfc.nasa.gov,nasa.gov,http://7-seas.gsfc.nasa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
72a.gsa.gov,gsa.gov,https://72a.gsa.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False
a-app-l-seind01.nsf.gov,nsf.gov,http://a-app-l-seind01.nsf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
a-web-s-wwwtst1.nsf.gov,nsf.gov,http://a-web-s-wwwtst1.nsf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
a-web-s-wwwtst2.nsf.gov,nsf.gov,http://a-web-s-wwwtst2.nsf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False
a130.cio.gov,cio.gov,http://a130.cio.gov,True,False,,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False
aab.larc.nasa.gov,nasa.gov,https://aab.larc.nasa.gov,True,False,,False,True,False,True,False,False,False,False,,,False,False,False
aawu.arh.noaa.gov,noaa.gov,http://aawu.arh.noaa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
abfm.ksc.nasa.gov,nasa.gov,http://abfm.ksc.nasa.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False
