Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
arcc.osmre.gov,osmre.gov,http://arcc.osmre.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
archive.defense.gov,defense.gov,http://archive.defense.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
archive.epa.gov,epa.gov,https://archive.epa.gov,True,False,,True,True,False,True,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,True
archive.msha.dir.labor.gov,labor.gov,http://archive.msha.dir.labor.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
archive.nodc.noaa.gov,noaa.gov,http://archive.nodc.noaa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
archive.opm.gov,opm.gov,https://archive.opm.gov,True,False,,True,True,False,True,False,False,False,"['max-age=31536000', 'max-age=31536000', 'max-age=31536000']",,False,False,False,False,True
archive.usa.gov,usa.gov,http://archive.usa.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
archives.gov,archives.gov,http://archives.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,False
archives.nih.gov,nih.gov,http://archives.nih.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
arctic-zone.internal.pmel.noaa.gov,noaa.gov,http://arctic-zone.internal.pmel.noaa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
arctic.gov,arctic.gov,https://arctic.gov,True,False,,True,True,False,True,False,False,True,max-age=16070400; includeSubDomains; preload,16070400,True,True,True,False,False
arcweb.archives.gov,archives.gov,https://arcweb.archives.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
arcwebuat.archives.gov,archives.gov,https://arcwebuat.archives.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
ardf.wr.usgs.gov,usgs.gov,http://ardf.wr.usgs.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
arh.noaa.gov,noaa.gov,http://www.arh.noaa.gov,True,True,http://www.weather.gov/arh/,False,False,False,False,False,False,False,,,False,False,False,True,False
aria-search.jpl.nasa.gov,nasa.gov,https://aria-search.jpl.nasa.gov,True,False,,False,True,False,True,True,False,False,,,False,False,False,False,True
arizona.usgs.gov,usgs.gov,http://arizona.usgs.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
arl.msha.gov,msha.gov,https://arl.msha.gov,True,False,,True,True,False,True,False,False,False,,,False,False,False,False,True
arlweb.msha.gov,msha.gov,http://arlweb.msha.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,True
arm.fas.gsa.gov,gsa.gov,http://www.arm.fas.gsa.gov,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
armb.fas.gsa.gov,gsa.gov,http://armb.fas.gsa.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
armd.fas.gsa.gov,gsa.gov,http://armd.fas.gsa.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
armedforcessports.defense.gov,defense.gov,http://armedforcessports.defense.gov,True,False,,False,False,False,False,True,True,False,,,False,False,False,False,True
armenia.usembassy.gov,usembassy.gov,http://armenia.usembassy.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,False
armenian.armenia.usembassy.gov,usembassy.gov,http://armenian.armenia.usembassy.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
armi.usgs.gov,usgs.gov,http://armi.usgs.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
armycivilianservice.usajobs.gov,usajobs.gov,https://armycivilianservice.usajobs.gov,True,False,,False,True,False,True,True,False,False,max-age=31536000,31536000,False,False,False,False,False
armyengineerhistory.sites.usa.gov,usa.gov,http://armyengineerhistory.sites.usa.gov,True,False,,False,False,False,False,True,False,False,,,False,False,False,False,True
arproxy1a.ar.ds.army.mil,army.mil,http://arproxy1a.ar.ds.army.mil,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
arri.osmre.gov,osmre.gov,http://arri.osmre.gov,True,False,,False,False,False,False,False,False,False,,,False,False,False,False,False
arri.redesign.osmre.gov,osmre.gov,http://arri.redesign.osmre.gov,False,False,,False,False,False,False,False,False,False,,,False,False,False,True,True
ars-paris.state.gov,state.gov,http://ars-paris.state.gov,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,True
